address,area,birthday,constellation,ename,height,language,name,people_id,sex,weight
安徽省蚌埠市,中国,1985-07-11,巨蟹座,-,180cm,国语;,李荣浩,39,男,-
中国香港,中国香港,1967-12-06,射手座,-,172cm,国语;粤语;,李克勤,40,男,58kg
中国陕西西安,中国,1968-07-21,巨蟹座,-,170cm,国语;,许巍,41,男,62kg
内蒙古包头,中国,1972-12-18,射手座,-,180cm,国语;,杨坤,42,男,67kg
四川省内江市资中县罗泉镇,未知,1971-06-22,巨蟹座,-,175cm,国语;,刀郎,43,男,-
香港九龙,中国香港,1956-09-12,处女座,-,175cm,粤语;,张国荣,44,男,70kg
新加坡,新加坡,1975-01-28,水瓶座,-,160cm,英语;国语;,蔡健雅,45,女,-
香港西营盘,中国台湾,1960-12-22,摩羯座,-,175cm,国语;,周华健,46,男,74kg
辽宁,中国,-,巨蟹座,-,-,国语;,孙露,47,女,-
大连,中国,1969-02-18,水瓶座,-,178cm,国语;,孙楠,48,男,65kg
台湾台北市,中国台湾,1967-04-30,金牛座,-,174cm,国语;,张宇,49,男,-
台湾省台北县新庄区,中国台湾,1980-09-15,处女座,-,161cm,国语;,蔡依林,50,女,40kg
广东阳江,中国,1982-11-02,天蝎座,-,164cm,国语;,郑源,51,男,50kg
上海,中国,1990-04-14,牡羊座,-,-,-,葛东琪,52,男,-
中国湖南芷江县,中国,1985-08-16,狮子座,-,172cm,国语;,郭顶,53,男,56kg
河南省新乡县古固寨镇前辛庄,中国,1983-01-16,魔羯座,-,173cm,国语;,冷漠,54,男,-
四川成都,中国,1984-10-11,天秤座,-,162cm,国语;,张靓颖,55,女,45kg
-,中国,-,-,-,-,-,王宇宙Leto,56,女,-
台湾台北市,中国台湾,1969-06-01,双子座,-,160cm,国语;,刘若英,57,女,46kg
美国宾州,美国,1989-12-13,射手座,泰勒·斯威夫特,180cm,英语;,Taylor Swift,58,女,54kg
中国山东省菏泽市,中国,1979-01-16,魔羯座,-,170cm,国语;,祁隆,59,男,-
中国香港,中国,1970-06-02,双子座,-,167cm,国语;粤语;,莫文蔚,60,女,45kg
-,中国,-,-,-,-,-,小炎同学,61,男,-
广东陆丰,中国,-,魔羯座,-,165cm,国语;,庄心妍,62,女,53kg
新加坡,新加坡,1978-07-23,狮子座,-,162cm,英语;国语;日语;,孙燕姿,63,女,42kg
中国辽宁,中国,1967-11-27,射手座,-,168cm,国语;,那英,64,女,46kg
江苏省徐州市,中国,1997-04-12,牡羊座,-,-,-,戴羽彤,65,女,-
哈尔滨,中国,1983-10-10,天秤座,-,165.5cm,国语;英语;,曲婉婷,66,女,45kg
四川成都,中国,1995-06-17,双子座,-,-,-,阿YueYue,67,女,-
-,-,-,-,-,-,-,洋澜一,68,女,-
中国吉林省公主岭市,中国,1978-07-23,狮子座,-,175cm,国语;,李玉刚,69,男,60kg
内蒙古乌兰浩特,中国,-,-,-,-,国语;,梦然,70,女,-
-,中国,-,-,-,-,-,张鑫雨,71,女,-
马来西亚森美兰州瓜拉庇劳县,马来西亚,1978-06-16,双子座,-,156cm,国语;,梁静茹,72,女,45kg
台湾,中国台湾,1965-06-01,双子座,-,165cm,国语;,韩宝仪,73,女,45kg
中国台湾,中国台湾,-,-,-,-,国语;,五月天,74,乐队,-
-,中国,-,-,-,-,-,LBI利比（时柏尘）,75,男,-
-,挪威,1997-08-24,处女座,艾伦·沃克,-,英语,Alan Walker,76,男,-
台湾,中国台湾,1958-7-19,巨蟹座,-,172cm,国语;,李宗盛,77,男,75kg
-,中国,1986-10-13,天平座,-,-,-,王琪,78,男,-
台湾省高雄冈山,中国台湾,1969-01-27,水瓶座,-,163cm,国语;,高胜美,79,女,47kg
西藏自治区昌都地区,中国,1971-09-26,天秤座,-,-,国语;,韩红,80,女,-
四川省甘孜藏族自治州德格县,中国,1984-02-01,水瓶座,-,176cm,国语;,降央卓玛,81,女,-
-,中国,-,-,-,-,-,任素汐,82,女,-
江苏徐州,中国,1981-02-18,水瓶座,-,175cm,国语;,徐誉滕,83,男,65kg
黑龙江省,中国,2001-04-05,牡羊座,-,-,普通话,王靖雯,84,女,-
-,中国,-,-,-,-,-,海伦,85,男,-
四川,中国,1987-02-25,双鱼座,-,160cm,国语;,蒋雪儿,86,女,45kg
-,中国,-,巨蟹座,-,169cm,国语;,任然,87,女,50kg
黑龙江省哈尔滨市,中国,1974-09-23,天平座,-,175cm,国语;,李健,88,男,64kg
上海,中国,1983-07-04,巨蟹座,-,180cm,国语;,胡彦斌,89,男,65kg
中国海南省三亚市,中国,1981-07-25,狮子座,-,176cm,国语;,陈楚生,90,男,60kg
-,中国,-,-,-,-,-,付豪,91,男,-
-,中国,-,-,-,-,-,巴扎黑,92,男,-
-,中国,-,-,-,-,-,尹昔眠,93,女,-
台湾,中国台湾,-,-,-,-,国语;,S.H.E,94,组合,-
贵州贵阳市,中国,1994-04-14,牡羊座,-,-,-,队长,95,男,-
香港,中国香港,1972-09-13,处女座,-,172.8cm,国语;粤语;日语;英语;,陈慧琳,96,女,52kg
北京,中国,1971-06-29,巨蟹座,-,176cm,国语;,汪峰,97,男,65kg
-,中国,-,-,-,-,-,时代少年团,98,组合,-
辽宁省丹东市,中国,1990-01-08,摩羯座,-,189CM,国语,摩登兄弟刘宇宁,99,男,70KG
香港,美国,1969-07-11,巨蟹座,-,178cm,国语;,陶喆,100,男,70kg
-,中国,-,-,-,-,国语,张紫豪,101,男,-
中国广西壮族自治区百色市德保县,中国,1986-04-22,金牛座,-,173cm,国语;,弦子,102,女,48kg
新加坡,新加坡,1973-03-11,双鱼座,-,172cm,英语;国语;,阿杜,103,男,64kg
广东省深圳市,中国,1988-04-30,金牛座,-,163cm,国语;,刘惜君,104,女,45kg
香港,加拿大,1966-04-26,金牛座,-,159cm,英语;国语;粤语;,林忆莲,105,女,48kg
香港,中国香港,1974-02-03,水瓶座,-,163cm,国语;粤语;,杨千嬅,106,女,50kg
台湾基隆市,中国台湾,1966-07-06,巨蟹座,-,176cm,国语;,林志炫,107,男,63kg
台湾新北市新庄区,中国台湾,1981-10-02,天枰座,-,170cm,国语;,卓依婷,108,女,54kg
浙江省东阳市,中国,2001-12-23,摩羯座,-,-,-,单依纯,109,女,-
贵州省贵阳市,中国,1990-07-26,狮子座,-,-,国语,陈粒,110,女,-
中国香港,中国香港,1958-09-07,处女座,-,172cm,粤语;,陈百强,111,男,60kg
安徽滁州市凤阳县,中国,1993-09-14,处女座,-,-,国语,小曼,112,女,-
-,中国,-,-,-,-,-,鱼多余,113,男,-
台湾高雄,中国台湾,1969-12-22,摩羯座,-,158cm,国语;,孟庭苇,114,女,45kg
-,中国,-,-,-,-,-,房东的猫,115,组合,-
香港,中国香港,1980-06-16,双子座,-,169cm,国语;粤语;,容祖儿,116,女,48kg
辽宁沈阳,中国,1966-01-04,摩羯座,-,173cm,内地,李晓杰,117,男,80kg
-,中国,-,-,-,-,-,IN-K,118,组合,-
上海市,中国,1989-07-04,巨蟹座,-,-,国语;,阿肆,119,女,-
台湾高雄市,中国台湾,1983-09-20,处女座,黄丽玲,168cm,国语;,A-Lin,120,女,49kg
香港,中国香港,1966-11-06,天蝎座,-,171cm,国语;,邰正宵,121,男,60kg
美国西维基尼亚州,美国,1980-08-06,狮子座,-,174cm,国语;,潘玮柏,122,男,62kg
-,中国,-,-,-,-,-,梅朵,123,女,-
-,中国,-,-,-,-,-,小咪,124,男,-
-,中国,-,-,-,-,-,曲肖冰,125,女,-
台湾台中,中国台湾,1960-01-12,摩羯座,-,173cm,国语;,齐秦,126,男,62kg
四川成都,中国,1983-10-23,天秤座,-,168cm,国语;,郁可唯,127,女,45kg
-,中国,-,-,-,-,-,小阿七,128,女,-
-,中国,-,-,-,-,-,程佳佳,129,女,-
-,中国,-,-,-,-,-,赵乃吉,130,女,-
-,中国,1988-03-31,牡羊座,-,-,-,赵海洋,131,男,-
台湾台中市,中国台湾,1987-03-05,双鱼座,-,172kg,国语;,韦礼安,132,男,64cm
台湾台北,中国台湾,1961-09-30,天枰座,-,166cm,英语;国语;粤语;,叶蒨文,133,女,-
-,美国,-,-,梦龙,-,英语;,Imagine Dragons,134,乐队,-
台湾台北市,中国台湾,1983-09-06,处女座,-,165cm,国语;,张芸京,135,女,50kg
中国香港,中国香港,-,-,-,-,国语;粤语;,草蜢,136,乐队,-
澳大利亚,澳大利亚,1975-12-18,射手座,希雅,-,英语;,Sia,137,女,-
中国上海市,中国,1963-03-01,双鱼座,-,170cm,国语;,毛阿敏,138,女,53kg
中国香港,中国香港,1947-10-12,天秤座,-,176cm,国语;粤语;,林子祥,139,男,-
中国江苏省南京市,中国,1973-11-08,天蝎座,-,179cm,国语;,朴树,140,男,65kg
美国德克萨斯州,美国,1982-04-24,金牛座,凯丽·克拉克森,162cm,英语;,Kelly Clarkson,141,女,-
江苏省南京市,中国,-,-,-,-,-,李常超（Lao乾妈）,142,男,-
广东省广州市越秀区,中国香港,1981-02-01,水瓶座,-,175cm,国语;粤语;,张敬轩,143,男,55kg
-,中国,-,-,-,-,-,街道办GDC,144,乐队,-
台湾高雄,中国台湾,1960-11-27,射手座,-,177cm,国语;,迪克牛仔,145,男,77kg
韩国汉城,中国台湾,1958-11-15,天蝎座,-,173cm,国语;,姜育恒,146,男,-
中国台湾台中市,中国台湾,1984-12-20,射手座,-,-,国语;,徐佳莹,147,女,-
台湾省台东县卑南乡,中国台湾,1972-08-09,狮子座,-,160cm,国语;,张惠妹,148,女,46kg
广西,中国,1988-08-15,狮子座,-,165cm,国语;,胜屿,149,男,53kg
台北,中国台湾,1961-11-14,天蝎座,-,171cm,国语;,郑智化,150,男,63kg
-,中国,-,-,-,-,-,王晴,151,女,-
台湾,中国台湾,-,-,-,-,国语;,动力火车,152,组合,-
-,荷兰,-,-,-,-,其他语种,Vicetone,153,组合,-
中国香港,中国香港,1972-08-18,狮子座,-,180cm,英语;国语;粤语;,古巨基,154,男,75kg
广西壮族自治区南宁市西乡塘区,中国,1990-03-01,双鱼座,-,182cm,国语;,胡夏,155,男,62kg
中国香港,中国香港,1967-11-10,天蝎座,-,168cm,国语;粤语;,周慧敏,156,女,51kg
-,中国,-,-,-,-,国语,刘珂矣,157,女,-
-,中国,-,-,-,-,-,Zyboy忠宇,158,男,-
山东省邹城市,中国,-,-,-,173cm,国语;,高安,159,男,76kg
台湾台北市,中国台湾,1984-06-04,双子座,-,162cm,国语;,杨丞琳,160,女,44kg
-,中国,-,-,-,-,-,AZ珍珍,161,女,-
香港,中国香港,1972-03-09,双鱼座,-,175cm,国语;粤语;,郑中基,162,男,64kg
马来西亚怡保,马来西亚,1970-08-30,处女座,-,174cm,国语;,光良,163,男,59kg
香港,中国香港,1961-11-18,天蝎座,-,175cm,国语;,黄凯芹,164,男,-
广东惠州惠阳,中国香港,1967-07-08,巨蟹座,-,178cm,国语;粤语;,陈小春,165,男,69kg
-,中国台湾,-,-,-,-,-,F.I.R.飞儿乐团,166,乐队,-
台湾台北市,中国台湾,1961-07-28,狮子座,-,171cm,国语;,庾澄庆,167,男,70kg
四川遂宁,中国,1994-06-18,双子座,-,159cm,普通话,鞠婧祎,168,女,46kg
香港,中国香港,1963-10-10,天秤座,-,169cm,国语;粤语;,梅艳芳,169,女,50kg
中国,中国,-,-,-,-,国语;,水木年华,170,男,-
台湾台北市,中国台湾,1974-09-20,处女座,-,158cm,国语;粤语;,许茹芸,171,女,43kg
北京,中国,1967-03-15,双鱼座,-,183cm,国语;,屠洪刚,172,男,-
安徽凤阳,中国,1985-06-02,双子座,-,182cm,国语;,张远,173,男,69kg
台湾中坜,中国台湾,1979-08-24,处女座,-,162cm,国语;,萧亚轩,174,女,46.5kg
江苏盱眙,中国,1996-10-09,天平座,-,-,-,范茹,175,女,-
湖南长沙,中国,1985-07-26,狮子座,-,165cm,国语;,周笔畅,176,女,51kg
美国洛杉矶,美国,-,-,魔力红,-,英语;,Maroon 5,177,乐队,-
台湾台东,中国台湾,1982-02-06,水瓶座,-,171cm,国语;,Tank,178,男,59kg
中国,中国,-,-,-,-,国语;,正云,179,男,-
辽宁葫芦岛,中国,1993-10-11,-,-,-,国语,半阳,180,男,-
-,中国,-,-,-,-,-,于洋,181,女,-
台湾台南市新营区,中国台湾,1958-06-20,双子座,-,-,国语;,龙飘飘,182,女,-
-,中国,-,-,-,-,-,姚六一,183,男,-
广州,中国,1982-07-10,巨蟹座,-,178cm,国语;,海鸣威,184,男,65kg
辽宁大连,加拿大,1989-11-07,天蝎座,-,169cm,国语;,于文文,185,女,48kg
北京,中国香港,1966-12-11,射手座,-,180cm,国语;,黎明,186,男,77kg
-,-,-,-,-,-,-,野哥,187,女,-
-,中国,-,-,-,-,内地,Zealot周星星,188,女,-
广东省广州市,中国香港,1948-09-06,处女座,-,180cm,英语;粤语;,许冠杰,189,男,72kg
-,中国,1989-07-12,巨蟹座,-,-,国语,童珺,190,女,-
-,中国,-,-,-,-,-,小乐哥（王唯乐）,191,男,-
中国辽宁省开原市上肥地满族乡,中国,1981-05-07,金牛座,-,174cm,国语;,小沈阳,192,男,60kg
中国,中国,-,-,-,-,国语;,筷子兄弟,193,组合,-
台湾,加拿大,1959-07-26,狮子座,-,176cm,国语;,童安格,194,男,62kg
-,中国,-,-,-,-,-,名龙,195,男,-
英国伦敦托特纳姆,英国,1988-05-05,金牛座,阿黛尔,175cm,英语;,Adele,196,女,-
广东阳江,中国,1984-09-25,天秤座,-,173cm,国语;,欢子,197,男,62kg
山东青岛,中国,1987-02-08,水瓶座,-,177cm,国语;,徐良,198,男,65kg
台北万华,中国台湾,1987-03-30,白羊座,-,171cm,国语;,萧敬腾,199,男,55kg
法国巴黎罗曼威鲁镇,法国,1953-12-28,魔羯座,理查德·克莱德曼,177cm,纯音乐;,Richard Clayderman,200,男,66kg
-,中国,-,-,-,-,-,小霞,201,女,-
-,中国,-,-,-,-,国语,王峰,202,男,-
-,中国,-,-,-,-,纯音乐;,巫娜,203,女,-
美国新泽西州,美国,1991-12-02,射手座,查理·普斯,-,英语;,Charlie Puth,204,男,-
新疆乌鲁木齐,中国,1993-07-21,巨蟹座,-,-,-,花粥,205,女,-
荷兰阿姆斯特丹,荷兰,1996-05-14,金牛座,马丁·盖瑞斯,-,英语;,Martin Garrix,206,男,-
广东湛江雷州,中国,1985-10-18,天平座,-,172cm,国语;,六哲,207,男,60kg
韩国,美国,1980-11-26,射手座,-,176cm,英语;国语;韩语;,李玖哲,208,男,73kg
新加坡,中国台湾,-,天蝎座,-,174cm,国语;,陈冠蒲,209,男,53kg
杭州,中国,-,-,-,-,国语;,车继铃,210,男,-
-,中国,-,-,-,176cm,国语;,秋裤大叔,211,男,80kg
台湾台中,中国台湾,1968-03-17,双鱼座,-,175cm,国语;,黄品源,212,男,65kg
-,中国,-,-,-,-,国语,奇然,213,男,-
-,中国,2000-11-30,射手座,-,-,普通话,大籽,214,女,-
内蒙古,中国,2001-08-18,狮子座,-,-,-,陈雪凝,215,女,-
中国香港,中国香港,1937,-,-,-,国语;,胡伟立,216,男,-
-,中国,-,-,-,-,-,王富贵,217,男,-
-,中国,-,-,-,-,-,不只中二,218,男,-
台湾屏东县麟洛乡,中国台湾,1973-04-20,白羊座,-,162cm,国语;,彭佳慧,219,女,45kg
湖北武昌,中国香港,1949-01-01,摩羯座,-,160cm,粤语;,徐小凤,220,女,-
-,韩国,-,-,-,-,韩语,BLACKPINK,221,组合,-
美国印第安纳州印第安纳波利斯,美国,1982-01-29,水瓶座,亚当·兰伯特,185.4cm,英语;,Adam Lambert,222,男,77kg
台湾云林,中国台湾,1975-02-28,双鱼座,-,156cm,国语;,阿桑,223,女,42kg
中国香港,加拿大,1980-08-29,处女座,-,174cm,英语;国语;粤语;日语;,谢霆锋,224,男,68kg
台湾新竹县,中国台湾,1983-03-30,白羊座,-,160cm,国语;,田馥甄,225,女,45kg
河北省邯郸市肥乡县,中国,1985-04-14,白羊座,-,177cm,国语;,贺一航,226,男,62kg
成都,中国,1995-06-08,双子座,-,-,-,王以太,227,男,-
英国埃塞克斯,英国,1984-05-14,金牛座,奥利·莫尔斯,-,英语;,Olly Murs,228,男,-
爱尔兰,爱尔兰,-,-,西城男孩,-,英语;,Westlife,229,组合,-
中国湖南安江镇,中国,-,射手座,-,162cm,国语;,袁娅维TIA RAY,230,女,48kg
上海,中国,1963-04-09,白羊座,-,166cm,国语;,李玲玉,231,女,50kg
-,中国,-,-,-,-,国语,王小帅,232,男,-
-,韩国,-,-,-,-,-,(G)I-DLE ((여자)아이들),233,组合,-
吉林长春,中国,1991-03-25,白羊座,-,173cm,国语;,梁博,234,男,-
-,中国,-,-,-,-,国语,胡66,235,女,-
加拿大斯特拉特福,加拿大,1994-03-01,双鱼座,贾斯汀·比伯,176cm,英语;,Justin Bieber,236,男,53kg
中国香港,中国香港,1971-07-24,狮子座,-,167cm,粤语;,刘小慧,237,女,-
四川省凉山州甘洛县,中国,1988-05-13,金牛座,-,162cm,国语;,吉克隽逸,238,女,46kg
夏威夷,中国香港,1983-07-14,巨蟹座,-,174cm,英语;国语;,方大同,239,男,52kg
四川德阳,中国,1997-08-19,狮子座,-,175CM,-,李袁杰,240,男,62kg
中国上海,中国,1987-02-13,水瓶座,-,166cm,国语;,黄龄,241,女,45kg
-,中国,-,-,-,-,-,pro,242,男,-
河南省平顶山市,中国,1983-12-27,魔羯座,-,165cm,国语;,萨顶顶,243,女,45kg
-,美国,-,-,烟鬼乐队,-,-,The Chainsmokers,244,组合,-
广州,中国香港,1945-02-16,水瓶座,-,175cm,国语;粤语;,罗文,245,男,62kg
四川成都,中国,1984-03-10,双鱼座,-,175cm,国语;,李宇春,246,女,-
-,中国台湾,-,-,-,-,-,伍佰,247,男,-
中国,中国,-,-,-,-,国语;,逃跑计划,248,乐队,-
-,中国,-,-,-,-,-,谈柒柒,249,女,-
台湾台东县卑南乡,中国台湾,1965-01-19,魔羯座,-,168cm,国语;,裘海正,250,女,57kg
台湾嘉义,中国台湾,1961-06-18,双子座,-,167cm,国语;,赵传,251,男,61kg
韩国首尔,韩国,1962-01-12,魔羯座,-,-,国语;韩语;,张镐哲,252,男,-
-,中国,-,-,-,-,-,小鬼阿秋,253,女,-
-,-,-,-,-,-,-,吴小迷,254,女,-
青海省玉树藏族自治州结古镇,中国,-,水瓶座,-,-,国语;,央金兰泽,255,女,-
台湾台北,中国台湾,1954-07-20,巨蟹座,-,172cm,英语;国语;粤语;闽南语;,罗大佑,256,男,-
-,中国,-,-,-,-,-,要不要买菜,257,男,-
中国上海,中国,1982-09-20,处女座,-,185cm,国语;,胡歌,258,男,75kg
-,-,-,-,-,-,-,刀酱（张萌）,259,女,-
-,中国,-,-,-,-,-,傅梦彤,260,女,-
-,中国,-,-,-,-,-,亦伊,261,女,-
美国印第安纳州加里市,美国,1958-08-29,处女座,迈克尔·杰克逊,180cm,英语;,Michael Jackson,262,男,60kg
江西大余,中国,-,巨蟹座,-,180cm,国语;,兰雨,263,男,68kg
美国俄亥俄州,美国,1976-03-18,双鱼座,-,172cm,国语;,范玮琪,264,女,48kg
台湾新北市,中国台湾,1969-06-30,巨蟹座,-,160cm,国语;,潘美辰,265,女,45kg
中国,中国,-,-,-,-,国语;,牛奶咖啡,266,组合,-
台湾台北市,中国台湾,1968-10-30,天蝎座,-,187cm,国语;,游鸿明,267,男,78kg
-,中国,2010-03-26,牡羊座,-,-,-,李昕融,268,女,-
-,中国,-,-,-,-,-,小蓝背心,269,女,-
中国吉林,中国,1982-07-12,巨蟹座,-,165cm,国语;,金志文,270,男,60kg
辽宁省抚顺市,中国,1982-07-04,巨蟹座,-,178cm,国语;,伯爵Johnny,271,男,61kg
北京市海淀区,中国,1990-04-20,牡羊座,-,178cm,英语;国语;韩语;,鹿晗,272,男,54kg
中国,中国,2013-08-06,狮子座,-,-,国语;,TFBOYS,273,组合,-
新加坡,新加坡,1974-09-27,天秤座,-,170cm,国语;粤语;,许美静,274,女,47kg
-,中国,-,-,-,-,-,弹棉花的小花,275,女,-
-,中国,-,-,-,-,-,一口甜,276,女,-
-,中国,-,-,-,-,-,福禄寿Floruit Show,277,乐队,-
韩国,韩国,-,-,-,-,韩语;,EXO,278,组合,-
-,马来西亚,-,-,-,-,-,yihuik苡慧,279,女,-
台湾高雄,中国,1973-02-21,双鱼座,-,183cm,国语;,李圣杰,280,男,70kg
江苏省南京市,中国香港,1964-01-19,魔羯座,-,165cm,国语;粤语;,吕方,281,男,65kg
-,中国,-,-,-,-,-,海鸟飞鱼,282,组合,-
辽宁本溪,中国,1969-05-23,双子座,-,180cm,国语;,毛宁,283,男,70kg
-,中国,-,-,-,-,-,云汐,284,女,-
韩国,韩国,-,-,-,-,韩语;,BIGBANG,285,组合,-
-,中国,-,-,-,-,-,大麦,286,女,-
湖北嘉鱼,中国,-,狮子座,-,175cm,国语;,谢军,287,男,-
-,中国,-,-,-,-,-,DJ Candy,288,男,-
加拿大温哥华,加拿大,1980-10-07,天秤座,-,178cm,国语;粤语;,陈冠希,289,男,64kg
湖南益阳,中国,1979-10-19,天秤座,-,-,国语;,雷佳,290,女,-
台湾台北市,中国台湾,1978-03-03,双鱼座,-,156cm,国语;,徐怀钰,291,女,42kg
香港,中国香港,1967-09-24,天秤座,-,177cm,国语;粤语;,苏永康,292,男,66kg
江西省南昌市,未知,1971-05-11,金牛座,-,158cm,国语;,杨钰莹,293,女,44kg
美国北达科他州迈诺特,美国,1987-09-08,处女座,维兹·卡利法,193cm,英语;,Wiz Khalifa,294,男,84kg
-,中国,1998-11-27,射手座,-,-,-,王大毛,295,女,-
-,中国,-,-,-,-,-,三楠,296,女,-
-,中国,-,-,-,172cm,-,霈丹(浪哥),297,女,55kg
-,中国,-,-,-,-,-,踏破铁鞋,298,男,-
-,中国,-,-,-,-,-,孟颖,299,女,-
上海徐汇区,中国,1983-03-14,双鱼座,-,166cm,国语;,金莎,300,女,46kg
马来西亚霹雳州金保市,马来西亚,1963-02-09,水瓶座,-,171cm,国语;粤语;,巫启贤,301,男,65kg
中国香港,中国香港,-,-,双生儿,-,国语;粤语;,Twins,302,组合,-
台湾屏东县潮州镇,中国台湾,1987-07-01,巨蟹座,-,171cm,国语;,林宥嘉,303,男,70kg
重庆,中国,2000-11-08,天蝎座,-,-,国语,王源,304,男,-
台湾宜兰县苏澳镇,中国台湾,1974-05-02,金牛座,-,174cm,国语;,张震岳,305,男,-
内蒙古呼和浩特市,未知,1968-02-23,双鱼座,-,183cm,国语;,韩磊,306,男,-
-,中国,-,-,-,-,-,DJ 北风,307,男,-
中国无锡,中国,-,水瓶座,-,164.5cm,国语;,杭娇,308,女,49kg
香港太平山,中国香港,1954-04-07,白羊座,-,173cm,国语;,成龙,309,男,65kg
-,-,-,-,-,-,-,ADAM,310,男,-
-,中国,-,-,-,-,-,香子,311,女,-
-,中国,1989-01-11,魔羯座,-,181cm,国语;,CORSAK胡梦周,312,男,68kg
-,中国,-,-,-,-,-,川青,313,女,-
-,中国,-,-,-,-,-,王优秀,314,男,-
-,荷兰,-,-,-,-,-,Lulleaux,315,男,-
香港,中国香港,1984-11-07,天蝎座,-,-,国语;,岑宁儿,316,女,-
-,中国,-,-,-,-,-,陈舒岩,317,女,-
湖南古丈县,中国,1966-08-13,狮子座,-,168cm,国语;,宋祖英,318,女,50kg
河南省商丘市睢县,中国,1981-01-08,摩羯座,-,183cm,国语;,宇桐非,319,男,73kg
江西,中国,2000-09-16,处女座,-,165cm,国语,Uu（刘梦妤）,320,女,-
-,加拿大,-,-,-,-,-,Hawk Nelson,321,乐队,-
江苏盐城,中国,-,-,-,176cm,内地,海生,322,男,67kg
中国香港,澳大利亚,1971-08-27,处女座,-,180cm,国语;粤语;,张智霖,323,男,63kg
-,中国,-,-,-,-,-,宝石Gem,324,男,-
湖北武汉,中国,1990-02-07,水瓶座,-,172cm,国语;,华晨宇,325,男,-
黑龙江哈尔滨宾县,中国,1982-04-18,白羊座,-,178cm,国语;,高进,326,男,50kg
中国香港,美国,1950-07-19,巨蟹座,-,-,粤语;,卢冠廷,327,男,-
北京,未知,1968-12-03,射手座,-,180cm,国语;,老狼,328,男,70kg
-,中国,-,-,-,-,-,余又,329,女,-
美国芝加哥,美国,-,-,打倒男孩,-,英语;,Fall Out Boy,330,乐队,-
