chaoxiang,detailUrl,huxing,jiegou,louceng,mianji,nianfen,picUrl,position,price,title,zhangxiu
 南 北 ,https://bj.lianjia.com/ershoufang/101123868339.html,2室1厅 , 板楼, 中楼层(共6层)  , 60.59平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-USSjx9uoW5EbLoyWBuTY9t/3653ec5d506d77de4751dcaea6a34ad0/1713061030_8/pc0_oDPi8wQtW.jpg,西环里 ,"28,883元/平",西环里 2室1厅 南 北, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123378843.html,2室1厅 , 板楼, 低楼层(共26层)  , 82.59平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-lEE64A5PlCzbeGN9vIx345/11a27769e28f8ecc6d4d6faa14982c60/1695189600_7/pc0_9icnBqpT3.jpg,保利首开熙悦春天 ,"37,293元/平",保利首开熙悦春天+南向两居室+满五年, 精装 
 东 西 ,https://bj.lianjia.com/ershoufang/101122606184.html,3室1厅 , 板楼, 高楼层(共6层)  , 84.82平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-SszpO5eg0GOVyB_QHo3_Zq/fa0c009d91bec634e586ce6373d79072/1705296067_11/pc0_8JHdyNn6q.jpg,世界名园南区 ,"11,672元/平",窦店下高速，户型方正两居，业主诚心出售, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123422667.html,2室1厅 , 板楼, 6层  , 56.7平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-68XDj-FezemsecTJanUM0b/cef252eba04e46a7c15214c0a735a5a0/1710577840_7/pc0_etGBPjOMw.jpg,右外东庄 ,"56,438元/平",右外东庄 南北通透 中间层 正规两居 满五年 诚心出售, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101121197234.html,2室1厅 , 板楼, 高楼层(共9层)  , 97.45平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-9jkgsnZzeM7VMpLuhky0uP/a421b79659922b0d4071a4efc2dc7baa/1711075879_3/pc0_Zo5iC9u4S.jpg,世界名园D区 ,"13,341元/平",电梯房次顶层，南北通透大2居，只有契税看房有钥匙。, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101120499836.html,3室2厅 , 板楼, 低楼层(共9层) , 110.34平米 , 2011年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-afazLvCJ91wfPXPTbI5QSO/c31e531d4ec553f65259f15db99c8265/1697165699_3/pc0_th5S7Ngh9.jpg,朝丰家园15号院 ,"38,518元/平",朝丰家园15号院无遮挡采光好里楼层适合老人孩子居住, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101121923314.html,1室1厅 , 板楼, 6层  , 38.4平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-WTYrZ1_N8veL3b4WoSrv36/5cab9f1125175775ccfaa78976fa64e8/1700122027_4/pc0_b5OzYyiGi.jpg,朱各庄小区 ,"127,605元/平",万寿路 聚焦 精装一居室 朱各庄小区 全明格局, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122679103.html,2室1厅 , 板楼, 6层  , 67.41平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-1EjlynC3wxft09YCAfoR_h/ba537cf56fda394430b8652613803cf8/1706252323_8/pc0_OP8tT3DoL.jpg,椿蓉园 ,"16,319元/平",椿榕园三里 价格低 两居 低楼层 看房随时 满五年, 其他 
 北 ,https://bj.lianjia.com/ershoufang/101119453967.html,1室0厅 , 塔楼, 低楼层(共25层) , 39.8平米 , 2004年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/d271f21e4e847de8fd2676083e8a812d/screenshot/1693721051_4/pc0_JB78sRyvi.jpg,飘HOME ,"56,533元/平",将台西路19号院飘HOME小区 满5唯一, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123323467.html,4室2厅 , 板楼, 低楼层(共18层) , 121.78平米 , 2019年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-aTXKxLSHQXz5G79obQZhZX/09d223328561e2d051c1b4e5eb409c97/1710467332_10/pc0_Jqx0RuW6g.jpg,翡翠公园二期 ,"53,293元/平",翡翠公园二期 满两年 两梯两户有电梯 精装修 三面采光, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123979165.html,2室1厅 , 板楼, 低楼层(共27层) , 90.23平米 , 2020年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-5lTYaHOriMjXbWnPRkpMEn/84801b7e60736a66e5ab8648fceb5d40/1713421243_12/pc0_2cFz68w4t.jpg,青荷里晨风园二期 ,"35,687元/平",青荷里晨风园二期南向两居配合10月满二年, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122807831.html,2室1厅 , 板楼, 高楼层(共6层)  , 88.16平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-3RBSQSfX046cUliSBMzQLu/80fd04dcb5514671953fa565ed9dae87/1711594634_0/pc0_cyede98WN.jpg,大城小镇 ,"35,731元/平",大城小镇 南边通透 观公园 两居室, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123509590.html,2室1厅 , 塔楼, 中楼层(共11层) , 90.97平米 , 2016年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-DgLH1G8sisMK0orTh3if3x/97864f2bdc2b6a7e6893a58a5ec1fd60/1711003341_3/pc0_78fgAN3pD.jpg,长景新园 ,"30,230元/平",长景新园 纯毛坯大两居，南北通透, 毛坯 
 南 北 ,https://bj.lianjia.com/ershoufang/101123773938.html,2室1厅 , 板楼, 顶层(共6层) , 56.96平米 , 1986年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/88c3a04c466d9d640de65d1e36fcb5dc/screenshot/1628754907_9/pc0_xN3oBYStB.jpg,甘露园西里 ,"35,991元/平",甘露园西里南北通透两居室，无遮挡，采光好, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101119182874.html,2室1厅 , 板楼, 中楼层(共5层) , 52.96平米 , 1981年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/f6cff9e121bd33a42760477845eedef2/screenshot/1684293083_0/pc0_8puRhoUQ7.jpg,红星楼 ,"33,988元/平",南四环，满五唯一，南向，中间层，采光充足，诚意出售, 其他 
 南 北 ,https://bj.lianjia.com/ershoufang/101123950905.html,3室2厅 , 板楼, 底层(共8层)  , 122.28平米 ,null,https://vrlab-image4.ljcdn.com/release/auto3dhd/9e651e89b9738b5f60a036f6f75fa728/screenshot/1686293659_2/pc0_tK5xJSpvn.jpg,首创悦都汇 ,"23,226元/平",首创悦都汇   优质小区  诚心出售, 简装 
 西南 西北 ,https://bj.lianjia.com/ershoufang/101123124423.html,3室1厅 , 塔楼, 低楼层(共27层)  , 96.73平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-uzDbbwzqz9dUOLe9IZRaXf/120b7063f875fd9b4beeb70079d8782b/1713598399_0/pc0_0qZWyjAeE.jpg,望京新城 ,"63,890元/平",望京新城无遮挡不临街三居，满五年采光好, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101122225722.html,1室1厅 , 板楼, 高楼层(共20层) , 72.3平米 , 2013年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-FlQKLFX3_ekdYCFSxidGUc/a1f0f7baa04556e0a0da177a601a3c7f/1708411879_3/pc0_3g80jvHBH.jpg,丽都壹号 ,"85,478元/平",次顶层，满五唯一，明厨明卫，采光好。, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123962637.html,2室1厅 , 板塔结合, 高楼层(共16层) , 64.63平米 , 2014年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-oG8IQpm5p4-sKpVJxmwYke/0bbfed9937ac0c9648ead36134f00e12/1713322554_5/pc0_TysuSPRGw.jpg,阳光星苑北区 ,"45,335元/平",阳光星苑北区 南向两居室 满五年唯一商品房, 简装 
 西 ,https://bj.lianjia.com/ershoufang/101123884430.html,1室1厅 , 塔楼, 中楼层(共26层)  , 27.09平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-yZn7pwqTjTjWIv-Q2Lgk_z/490f7f0e6263069c0904666061d15ece/1712986134_1/pc0_o42bx2uii.jpg,荣丰2008 ,"112,957元/平",荣丰2008 1室1厅 西, 其他 
 南 ,https://bj.lianjia.com/ershoufang/101121713226.html,2室2厅 , 板楼, 高楼层(共19层)  , 88.74平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-Td1IFPR_EZ2uZIER07A1oX/c90722b97bcc2f294fa479319e88bfef/1698895051_5/pc0_6HwSlEoUL.jpg,恒大御景湾东区 ,"43,498元/平",恒大御景湾中高层两居室 满五年唯一次新房, 简装 
 东 ,https://bj.lianjia.com/ershoufang/101121038560.html,1室1厅 , 塔楼, 中楼层(共14层)  , 80.48平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-jMqmeL3w_HsfkYb4D6CITf/3060a07115a71bdfe30a202e88bbc1d0/1712384706_0/pc0_Rwn1oc7qY.jpg,首座御园一区二期 ,"29,573元/平",首座御园一区二期 东向正规一居室 中楼层, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122724058.html,1室1厅 , 板楼, 28层 , 59.52平米 , 2013年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-rynOTjy4GJ4aSBL5Havce4/3bbcb78284ded90ff141e9b40ba8acbe/1706245865_5/pc0_1ObEo9wBn.jpg,顺兴街17号院 ,"25,034元/平",顺兴街17号院 首付不高 楼层好 采光视野无遮挡, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123848820.html,4室1厅 , 板楼, 高楼层(共18层) , 131.75平米 , 2017年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-RYhpuHkba7zor9merolZye/dc2a483a5cb9b7796698fae3c713a4e1/1704252131_5/pc0_w5i31lrei.jpg,金茂逸墅 ,"81,974元/平",金茂逸墅四居 视野开阔 高楼层 精装修, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122505801.html,2室2厅 , 板楼, 中楼层(共7层) , 112.3平米 , 2005年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-QtOtuDSft-e_GJpwbek4vl/1bc6b5008d8b7027be6cceb233ecab98/1704257053_6/pc0_1Zh87ivVa.jpg,天通苑北三区 ,"36,510元/平",此房商品房满五年唯一，视野好，采光好，南北通透, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122794186.html,2室2厅 , 板楼, 6层 , 89.69平米 , 2005年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-U7S3Z4elEZZ-Ud2ylWfbTD/9879bd3b00fdb1e3934b302a9996e2a3/1706326881_7/pc0_MelvOvrnX.jpg,迎喜家园 ,"34,341元/平",迎喜家园   一层  户型方正, 精装 
 南 西 北 ,https://bj.lianjia.com/ershoufang/101123834471.html,2室1厅 , 板楼, 顶层(共13层) , 82.27平米 , 2011年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-Qvjoe1OG5CG4YEDGT8Rdex/f2d2200484391596f0ca029f1bb406ce/1713686233_12/pc0_Ugr7zRPRS.jpg,朝丰家园15号院 ,"34,035元/平",南北全明格局 商品房房本 高楼层采光视野无遮挡, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101121442559.html,2室1厅 , 板楼, 底层(共26层) , 73.48平米 , 2013年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/b4a4360a8e1e9789eb63dbbfd7d45680/screenshot/1573531432_8/pc0_QhZyMblZN.jpg,方恒东景 ,"35,112元/平",南向正规两室 近地铁 采光好 看房随时 配套设施全, 毛坯 
 东 西 ,https://bj.lianjia.com/ershoufang/101123860592.html,2室1厅 , 板楼, 低楼层(共6层)  , 56.8平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-B8w0h7gIoXD69KTPLmvTzY/0f4b80fe6708b88190c23e3c276c9304/1712898501_8/pc0_C0l42HrLs.jpg,定安东里 ,"47,536元/平",三环内 满五唯一  2层有装修 配套丰富 交通便利, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123970607.html,3室1厅 , 板楼, 6层  , 68.5平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-aAGC_ktogKiDz10tL9hJXU/12353f85ffe671cf5cdc08832a3d251c/1710826337_0/pc0_swAJ3BfbC.jpg,司达小区 ,"43,504元/平",急售房源  10号线角门东地铁 司达小区 三居室, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123234077.html,3室1厅 , 板楼, 顶层(共6层) , 92.1平米 , 1997年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-KfNS0NDO_UHfGBkKunwBo8/d7ddea80d60317ca507c2c4768950e50/1709787826_1/pc0_c6OwZK2mb.jpg,清华园 ,"124,865元/平",清华大学南门外清华园  满五年央产房  建成年代较新, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123714198.html,2室1厅 , 板楼, 中楼层(共6层) , 74.32平米 , 1995年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d--OdWMy1nw8g7uadg8y1ixV/a07805f34e9a217c3794603a6d1b9312/1712297722_5/pc0_7gT8W6MPt.jpg,西潞园三里 ,"25,566元/平",西潞园三里 2室1厅 南 北, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101119392694.html,3室2厅 , 板塔结合, 12层  , 119.85平米 ,null,https://vrlab-image4.ljcdn.com/release/auto3dhd/20f02b2dd1e2add749ba94be9b387cd2/screenshot/1685344294_3/pc0_1WsHE8oaL.jpg,江南山水 ,"52,983元/平",江南山水三居室 业主急售 南北通透 电梯房 采光好, 精装 
 东南 ,https://bj.lianjia.com/ershoufang/101121807224.html,2室1厅 , 塔楼, 低楼层(共22层)  , 96.14平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-PSri014IAsLJ2X4VwdP6Fu/2c0c49334cb073ce527623b3b5ad8c59/1701228691_3/pc0_fEjXiLnoe.jpg,世纪村西区 ,"55,128元/平",世纪村西区两室一厅一卫，满五唯一，采光好，随时可看, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101120526968.html,2室2厅 , 板楼, 27层  , 82.26平米 ,null,https://vrlab-image4.ljcdn.com/release/auto3dhd/643f463b6cd759b47d6266e7ce7da31c/screenshot/1691744236_6/pc0_EDSkYpwJC.jpg,柏林郡 ,"54,705元/平",柏林郡开发商精装修，带电梯两居室，全南向，2019年房, 精装 
 东南 南 ,https://bj.lianjia.com/ershoufang/101123307858.html,2室1厅 , 塔楼, 低楼层(共18层) , 72.7平米 , 1994年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-OXVWOwc_YbNAR5Sn7ZM2_m/ea5f7038eb5093cd7bcd34af876b8ecd/1710144501_3/pc0_L48VSmBeh.jpg,农光东里 ,"59,148元/平",此房精装修，东南朝向，明厅，双卧南向，交通便利。, 精装 
 西北 ,https://bj.lianjia.com/ershoufang/101123639350.html,3室1厅 , 板塔结合, 低楼层(共9层) , 143.46平米 , 2006年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/aec74799666cc80b35f546d650644496/screenshot/1680770589_3/pc0_Nj6CNJ0uF.jpg,壹线国际 ,"41,754元/平",此房满五唯一，户型方正，落地窗，靠谱出售。, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122977435.html,2室2厅 , 板楼, 中楼层(共7层)  , 90.53平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-3ZHaqaTx4-dhvEelkxPvwv/2217dc9796396eeeb7e6374f59a7e1d8/1711503272_1/pc0_H1hatRj7b.jpg,新潮嘉园一期 ,"30,156元/平",此房满五唯一，南北通透，全明格局，采光好视野佳, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101119621597.html,3室2厅 , 塔楼, 中楼层(共11层) , 131.3平米 , 2008年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/a92515bb83b0a8e1fcd8377835381d23/screenshot/1689930017_0/pc0_pIwY4U4fN.jpg,珠江御景 ,"29,703元/平",珠江御景 3室2厅 南 北, 其他 
 南 北 ,https://bj.lianjia.com/ershoufang/101122674452.html,3室1厅 , 板楼, 底层(共6层) , 87.2平米 , 1998年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-nowFFMH_GapNFrpYy_PppQ/b4b3fe970f39ea7a17d5f4d4de9468c8/1705554797_7/pc0_9dxY86wXh.jpg,观音寺北里 ,"29,358元/平",观音寺北里，一层，明厅三居，南北阳台，看房随时, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101121567332.html,2室1厅 , 板楼, 底层(共3层)  , 50.1平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-XwfeNoY3k4Bge7KUINTLc9/923cf42ae8cdd0bea9ec53ce6d6d309b/1699671646_4/pc0_1PLBjPKdl.jpg,北分厂 ,"66,468元/平",海淀北部新区安静社区地铁和环保科技园满五唯一商品房, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123819958.html,3室1厅 , 板楼, 低楼层(共6层) , 86.37平米 , 1991年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-vkDVbqELZhzRs6iYoRBXG7/a68c81cef0778910a1b9a8a283fb598c/1712729870_13/pc0_n1uPJ2Hqe.jpg,华严北里小区 ,"83,131元/平",华严北里 院中院 南北通透 双阳台 大客厅 2层, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123567320.html,2室1厅 , 板楼, 6层  , 62.6平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-1Wq53z_OXAatVDgcVld2Mg/342c19978aab7e91a5108e4227e15518/1695543484_9/pc0_mGsWJi7Zv.jpg,南环里 ,"33,387元/平",泽杰丽景2008年商品房，正规2居室, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122606483.html,2室1厅 , 板楼, 中楼层(共6层) , 62.06平米 , 1997年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-Omswu4v2Cpcp_GbA71cz19/42a831e484ea2248a50c7b0926df4d2a/1705197874_4/pc0_9xAgU91PQ.jpg,南湖东园二区 ,"69,288元/平",南湖东园二区板楼不临街，中间层南北通透，采光视野好, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123317057.html,1室1厅 , 板楼, 中楼层(共6层)  , 47.63平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-NckEeIjp6rojqSgTY4H7dY/1509e76e887871d23f34158a4e561573/1709977638_2/pc0_yXhGG4eph.jpg,南竹杆胡同 ,"116,524元/平",南竹杆胡同 中间楼层 视野宽阔 采光充足  双阳台, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123299652.html,1室1厅 , 板塔结合, 高楼层(共31层) , 56.39平米 , 2014年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d--SPUansEA_7sKEYk9N3Hvg/7fe3d53bbe86ee5c73e55b7aaf1b44b1/1701937497_2/pc0_LAPVDkm5H.jpg,金隅滨和园燕堤中街6号院 ,"26,424元/平",金隅滨和园2014年房屋，首付60万，精装修有电梯, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101123329065.html,2室2厅 , 板楼, 中楼层(共23层) , 84.6平米 , 2016年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-e7NhV3sZTJWcgBd15J6ASi/f499c46e6836c6a2026ca2854a29baff/1710126279_0/pc0_3CtltRiPV.jpg,保利紫荆香谷北区 ,"44,327元/平",保利紫荆香谷北区 2室2厅 南, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101117878791.html,2室1厅 , 板楼, 顶层(共18层)  , 111.69平米 ,null,https://vrlab-image4.ljcdn.com/release/auto3dhd/c25a1b66d52af9cc9abf02c8efb98118/screenshot/1661064762_16/pc0_e8NcYVfuU.jpg,宣海家园 ,"61,779元/平",宣海家园 2008年小区  周边配套齐全 产权清晰, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101122761911.html,1室1厅 , 板楼, 底层(共6层)  , 58.28平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-kTqS-Pb2BnLCkzFIqvFn7m/b128e740a9dae534252818923b19e987/1711249472_0/pc0_RaT8Wrrfa.jpg,兴海家园月苑 ,"46,157元/平",四环外 4号线 西红门 兴海家园月苑 纯南一居 看房随时, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101121748129.html,2室1厅 , 板楼, 低楼层(共6层)  , 67.76平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-un8u3mgaMlVoSmBmznK2qM/e674e759647f025cf4c46b60aa372ef8/1699165908_0/pc0_epnnflJRb.jpg,同泽园西里 ,"39,699元/平",同泽园西里  低楼层两居  精装修  南北通透, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123233151.html,3室2厅 , 板楼, 顶层(共6层)  , 115.75平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-ID6PJ1ZU3AA4YYdM9vkCam/54225f4d553d7ab96d90feccc02a6ad8/1709711251_0/pc0_0vh6y7JPK.jpg,燕城苑南区 ,"22,376元/平",店长推荐！满五年唯一，南北通透，全明格局, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101120939519.html,2室1厅 , 板楼, 底层(共6层) , 49.85平米 , 1985年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/d514cc7cbdc5aa5e976fffe06a503947/screenshot/1694075572_0/pc0_iS1sw6zyS.jpg,延静东里 ,"63,792元/平",延静东里  南北两居室  满五唯一  采光好 近地铁, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123389579.html,2室2厅 , 塔楼, 低楼层(共11层) , 111.22平米 , 2012年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-s9FgasUD-J06R-KP950LxQ/aa277257d9ef75f60846c9ab7b5bc55e/1710566424_3/pc0_AwyEuoJHy.jpg,长景新园 ,"26,525元/平",近地铁，南北通透，一梯两户，带电梯，双卫精装两居, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123061544.html,3室1厅 , 板楼, 5层  , 110.6平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-CokaSVso-XzX2Opoaeue39/4c4bb94de2f6443bd2270628bc87b603/1699606683_2/pc0_Z3BTvwUC0.jpg,岔道小区 ,"8,138元/平",岔道小区 3室1厅 南 北, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123265103.html,2室1厅 , 板楼, 中楼层(共5层)  , 69.04平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-aa9M_Cof_Vhsj_HoRA1iMh/4a6e6c28970bce9c3c137efbf2dfd799/1709870646_0/pc0_ovbfBTsfE.jpg,金台里 ,"52,144元/平",国贸附近金台里 南北两居室 明厨明卫 中间层, 简装 
