id,datas,url
11,企业MG动画视频教育宣传推广二维动画定制做科普公益政府,服务内容全部包含:商务流程：首付款一开始制作-制作完成-尾款。 1、沟通需求，了解客户具体的诉求点（风格、时长、制作周期） 2、给出报价，根据报价签约合同 3、首付款到位后，合同生效，制作开始 4、根据服务流程开始制作  5、制作完成后，客户支付尾款，最终提供高清文件 6、根据服务开具发票等事宜服务优势:精细高效设计团队，深耕二维动画设计行业多年。专注二维动画解决方案。工程施工动画、机械原理动画、智能制造动画、工业流程动画、产品演绎动画、地产建筑动画、事故救援动画、flash动画、医疗动画、MG动画等六八九动漫创意作为一家全国性专业二维动画服务商；自有一支专业高效的、全流程服务团队，为您保驾护航服务前需客户提供的信息:1.相关产品或公司介绍以便更加了解片子的定位、制作方向2.制作时长、需求风格、质量或参考案例以便更准确的进行动画制作3.是否提供脚本、配音提前清晰客户的需求，更快的安排制作4.投放途经范围、大概的制作周期在制作周期范围内可进行多次沟通，能够有效的提高片子质量5.其他要求明确客户其他要求
12,三维3d动画漫建筑地产品施工业设备演示流程视频设计定制作,服务内容全部包含:倍数传媒是专注影视动画制作的一家公司，现以重庆为总部，在北京、广东、杭州、上海、江苏、成都先后成立六大动画品牌全案中心。为影视文化市场提供精湛的动画专业制作服务。业务板块涵盖:特效制作，影视CG，二维动画，三维动画、影视拍摄等服务内容灵活满足全球不同品牌、影视运营商、导演，制片人等差异化需求及快速创新的追求理念。在众多制作方面都获得了客户一致好评，客户复购率高，并且业务范围涉及全国及海外。服务优势:1.专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。 2.良好的口碑：5000+客户合作经验，97%的顾客满意率，累计制作20000分钟，任务交付零超期。3.项目沟通零距离：专业AE1V1全程跟进，节省沟通成本，保证项目准时交付，每日分享项目实时进度，把控质量，让客户省心省力省时。4.完善的售后：初稿不满意随时退款。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：脚本创作.——配音制作——模型建模——动态分镜——预演动画.——单帧确认——渲染合成动画。服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
13,【动画制作】MG动画flash科普二维动画AE频设计定制,服务内容全部包含:倍数传媒是专注影视动画制作的一家公司，现以重庆为总部，在北京、广东、杭州、上海、江苏、成都先后成立六大动画品牌全案中心。为影视文化市场提供精湛的动画专业制作服务。业务板块涵盖:特效制作，影视CG，二维动画，三维动画、影视拍摄等服务内容灵活满足全球不同品牌、影视运营商、导演，制片人等差异化需求及快速创新的追求理念。在众多制作方面都获得了客户一致好评，客户复购率高，并且业务范围涉及全国及海外。服务优势:1.专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。 2.良好的口碑：5000+客户合作经验，97%的顾客满意率，累计制作20000分钟，任务交付零超期%。3.项目沟通零距离：专业AE1V1全程跟进，节省沟通成本，保证项目准时交付，每日分享项目实时进度，把控质量，让客户省心省力省时。4.完善的售后：初稿不满意随时退款。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：脚本创作.——配音制作——模型建模——动态分镜——预演动画.——单帧确认——渲染合成动画。服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
14,游戏制作手游PC端H5网页小程序3D小游戏定制作游戏开发,服务内容全部包含:H5游戏APP游戏网页游戏PC游戏3D游戏区块链游戏小程序游戏VR/AR游戏游戏美术3D游戏建模软件开发系统软件开发APP产品开发网站开发小程序开发服务优势:1无费用出方案，不满意退款！2海量模板 7天交付上线，速度快，有保障，价格低！3为上市公司和政府提供技术支持， 碧桂园、广汽三菱、字节跳动等品牌保障！4游戏开发外包领域全网粉丝第一万粉 全网认可！5团队80后老技术员 十年技术壁垒， 90后年轻技术员能加班。 团队热爱软件，热衷游戏行业发展。6包软著、包服务器+域名+备案、做游戏，赠送 游戏官网、永久运维。一站式服务，让您解除一切后顾之忧服务前需客户提供的信息:云创游科技是成熟的游戏开发公司之一，以实惠的价格提供端到端的游戏开发服务。我们的 50 多名团队拥有开发业内成熟游戏的经验，包括各种2D/3D游戏、NFT区块链/元宇宙游戏、AR/VR/MR游戏等。在过去的十年中，我们使用 Unity3D、cocos、Unreal、LayaBox，白鹭，Flash，Vue，nodejs，Java，PHP等成熟开发技术为移动、PC 和 Web 开发了各种游戏。其他:如何联系我们：点击右侧【企信联系】【在线IM】【电话联系】均可
15,MG动画二维科普GIF动画AE飞碟说flash手绘CG,服务内容全部包含:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！服务优势:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！服务前需客户提供的信息:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！
16,MG动画制作设计Flash二维手绘漫插画逐帧AE企业视频,服务内容全部包含:我们提供那些服务？简单说我们做的是二维动画（MG动画+手绘逐帧动画）二维动画不同于三维的立体，它只有两个维度是平面的。· 前期：剧本策划· 中期：角色设计、平面设计、场景设计· 中期：分镜制作、原画制作、动画制作、· 后期：配音、配乐、音效、合成· 售后：调整、维护、解答的服务· 其他：卡通形象设计、动画表情包、VI logo、平面画册服务优势:看经验制作沟通零距离全程项目经理1V1看人员配置设计师毕业国内知名美术高校看制作服务项目群技术人员实时沟通交流看所达效果每层制作都把控比您更高要求看工期速度工单智能化严格把握进度流程看所出创意满足不同行业的需求精益求精看业内声誉给客户不同选择标准再次回购看我们实力拥有十多年以上动画制作水准人工智能化灵活运用AI智能出图效率更高服务前需客户提供的信息:技术服务的流程其实就是我们包含服务的一个顺序流程。以下为动画的制作流程，特殊动画除外。· １、剧本确认（脚本）· ２、提供样音（提供３-5个左右，供客户选择）· ３、风格确认（一般包含一张场景图＋一张角色图）· ４、分镜确认（全篇的分镜头、为设计好的静帧图）· ５、动画初稿确认（最终呈现的动画）· ６、修改完善、完成项目· ７、一年的售后服务其他:节点1:脚本确认;节点2:设计稿确认;节点3:配音确认;节点4:分镜确认;节点5 :动画确认。根据节点步步确认,阶段性进行●程序:把控五个重要节点,阶段性进行,把风险控制到最低的范围。●专注:如果-个公司什么都做,可能什么都做不好,我们只专注做动画这-件事。●态度:每一个客户都有很大概率成为长期客户,所以我们的态度培养每一个长期关系。
17,礼物动画坐骑座驾svga进场特效挂件气泡框头像框勋章动效,服务内容全部包含:礼物特效制作，炫酷座驾，进场特效，头像框，勋章，svga，gif，mp4，json，webp，vap，所有格式都可适配专业制作动画，免费策划、免费出音效！1、免费策划：甲方提供礼物特效需求，行上为您策划。2、原画制作：根据已有需求，原画师设计原画。 3、动效制作：根据确定的原画，把原画做成动画。 4、成品输出：根据不同的平台输出要求，输出不同的格式。服务优势:行上有十余年行业经验，成功项目数不低于2000件。行上拥有“品牌运营”“影视制作”“动画动漫”“视觉设计”四大事业部，共计7大类超过50项产品服务。服务的客户有华为、腾讯、阿里巴巴、阿里云、京东、优酷、小米、老板电器、海尔、中国石油、中国电信、中国移动、中国联通、深圳地铁、碧桂园、万科等众多知名品牌 。我们的客户遍布全球数十个国家和地区。服务前需客户提供的信息:1.我们为您提供案例、问卷以及策划，为您提供精准服务！2.我们让每一条视频都有它的营销价值；清晰洞察其用途，反向定位如何制作视频更为重要。 3.产品型动画：需提供产品相关信息，如产品手册等等。4.宣传型动画，如有文案，提供文案，可以快速制定制作方案。5.需求描述和具体要求6.详情请咨询右侧客服!
18,mg动画制作MG动画动画设计科普动画AE飞碟说flash,服务内容全部包含:墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌服务领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客户提供服务！服务优势:墨家品牌设计主要经营的项目有：【品牌设计】：LOGO商标 、卡通吉祥物、VIS系统规范、包装、画册、折页、海报、宣传单设计、空间设计、展厅设计、连锁店设计、商业美陈、H5、PPT、电商详情页首页设计、商标登记等【品牌文案策划】：品牌简介、品牌故事、品牌理念、品牌价值观、企业经营宗旨、品牌愿景、品牌广告语、公众号代运营等【影视类】：MG动画、Flash动画、三维动画、宣传片制作等服务前需客户提供的信息:具体内容可以咨询售前顾问墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌服务领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客其他:墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌设计领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）及空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客户提供you质的服务！
19,企业动画产品MG三维AE二维广告宣传片手绘视频定制作,服务内容全部包含:商务服务流程是什么？简单说就是首付款——开始制作——制作完成——尾款。· 1、沟通需求，了解客户具体的诉求点· 2、给出报价，根据报价签约合同· 3、首付款到位，合同生效，制作开始· 4、开始制作服务流程（见↑）· 5、制作完成后，客户支付尾款，条件高清文件· 6、根据服务开具发票事宜服务优势:节点1:脚本确认;节点2:设计稿确认;节点3:配音确认;节点4:分镜确认;节点5 :动画确认。根据节点步步确认,阶段性进行●程序:把控五个重要节点,阶段性进行,把风险控制到最低的范围。●专注:如果-个公司什么都做,可能什么都做不好,我们只专注做动画这-件事。●态度:每一个客户都有很大概率成为长期客户,所以我们的态度培养每一个长期关系。●经验:我们会尽力去配合客户的需求，用我们多年的动画经服务前需客户提供的信息:定制类产品，具体价格需要与客服沟通协商定最终价格。视频制作属于虚拟产品，为了保证买家及客户的利益，视频制作完成后将添加水印发送给客户，我们将发送高清无水印版本完成交易。其他:看经验制作沟通零距离全程项目经理1V1看人员配置设计师毕业国内知名美术高校看制作服务项目群技术人员实时沟通交流看所达效果每层制作都把控比您更高要求看工期速度工单智能化严格把握进度流程看所出创意满足不同行业的需求精益求精看业内声誉给客户不同选择标准再次回购看我们实力拥有十多年以上动画制作水准人工智能化灵活运用AI智能出图效率更高
20,广告动画MG二维三维宣传片AEANflash动画设计制作,服务内容全部包含:前期制作 双方进行沟通 提供相关资料 进行文案创作 进行配音选择中期制作 进行原画创造 进行角色设计 进行场景设计 提供甲方审核后期制作 进行动画制作 音乐音效添加 进行视频合成 内部品控审核最终交付 提供甲方审核 改至甲方满意 甲方收货付款 交付最终视频服务优势:世纪常青动漫设计有限公司以动漫业务为核心，主要从事广告动画、科教动画、三维动画、形象设计、MG动画;从前期策划、脚本撰写，到分镜创作、人物设计、场景绘制、动画制作、输出成片，提供整包服务。我们有多年的二维动画制作经验和无限的创造力，有敏锐的嗅觉强悍的吸收力，梦幻的转化力;在动画行业和动态图形领域具有极高的专业度，我们鼓励创作精神，将客户的产品、思想核心、品牌需求等以动画的形式呈现出来，在动画行业服务前需客户提供的信息:世纪常青动漫设计有限公司以动漫业务为核心，主要从事广告动画、科教动画、三维动画、形象设计、MG动画;从前期策划、脚本撰写，到分镜创作、人物设计、场景绘制、动画制作、输出成片，提供整包服务。我们有多年的二维动画制作经验和无限的创造力，有敏锐的嗅觉强悍的吸收力，梦幻的转化力;在动画行业和动态图形领域具有极高的专业度，我们鼓励创作精神，将客户的产品、思想核心、品牌需求等以动画的形式呈现出来，在动画行业
21,动画制作MG动画flash动画二维三维AE手绘动漫设计,服务内容全部包含:匠派品牌营销策划，匠派人一直是梦想品牌的打造者，10年来专注于品牌设计领域，擅长品牌策划、品牌设计、品牌营销全套品牌营销策划服务。服务优势:曾服务过五粮液、竹叶青、小龙坎、全友、百威、小米、苏宁、中国电信、国家电网、延长石油、德力西集团、梦陇酒庄等国内外品牌。服务前需客户提供的信息:根据项目请咨询我们，匠派团队创建于2013年9月，是一家专业的品牌设计机构，服务客户超50000家，累计完成品牌项目19万个。
