id,datas,url
11,MG动画制作设计Flash二维手绘漫插画逐帧AE企业视频,服务内容全部包含:我们提供那些服务？简单说我们做的是二维动画（MG动画+手绘逐帧动画）二维动画不同于三维的立体，它只有两个维度是平面的。· 前期：剧本策划· 中期：角色设计、平面设计、场景设计· 中期：分镜制作、原画制作、动画制作、· 后期：配音、配乐、音效、合成· 售后：调整、维护、解答的服务· 其他：卡通形象设计、动画表情包、VI logo、平面画册服务优势:看经验制作沟通零距离全程项目经理1V1看人员配置设计师毕业国内知名美术高校看制作服务项目群技术人员实时沟通交流看所达效果每层制作都把控比您更高要求看工期速度工单智能化严格把握进度流程看所出创意满足不同行业的需求精益求精看业内声誉给客户不同选择标准再次回购看我们实力拥有十多年以上动画制作水准人工智能化灵活运用AI智能出图效率更高服务前需客户提供的信息:技术服务的流程其实就是我们包含服务的一个顺序流程。以下为动画的制作流程，特殊动画除外。· １、剧本确认（脚本）· ２、提供样音（提供３-5个左右，供客户选择）· ３、风格确认（一般包含一张场景图＋一张角色图）· ４、分镜确认（全篇的分镜头、为设计好的静帧图）· ５、动画初稿确认（最终呈现的动画）· ６、修改完善、完成项目· ７、一年的售后服务其他:节点1:脚本确认;节点2:设计稿确认;节点3:配音确认;节点4:分镜确认;节点5 :动画确认。根据节点步步确认,阶段性进行●程序:把控五个重要节点,阶段性进行,把风险控制到最低的范围。●专注:如果-个公司什么都做,可能什么都做不好,我们只专注做动画这-件事。●态度:每一个客户都有很大概率成为长期客户,所以我们的态度培养每一个长期关系。
12,广告动画，MG二维三维宣传片flash动画设计制作,服务内容全部包含:前期制作 双方进行沟通 提供相关资料 进行文案创作 进行配音选择中期制作 进行原画创造 进行角色设计 进行场景设计 提供甲方审核后期制作 进行动画制作 音乐音效添加 进行视频合成 内部品控审核最终交付 提供甲方审核 改至甲方满意 甲方收货付款 交付最终视频服务优势:世纪常青动漫设计有限公司以动漫业务为核心，主要从事广告动画、科教动画、三维动画、形象设计、MG动画;从前期策划、脚本撰写，到分镜创作、人物设计、场景绘制、动画制作、输出成片，提供整包服务。我们有多年的二维动画制作经验和无限的创造力，有敏锐的嗅觉强悍的吸收力，梦幻的转化力;在动画行业和动态图形领域具有极高的专业度，我们鼓励创作精神，将客户的产品、思想核心、品牌需求等以动画的形式呈现出来，在动画行业服务前需客户提供的信息:世纪常青动漫设计有限公司以动漫业务为核心，主要从事广告动画、科教动画、三维动画、形象设计、MG动画;从前期策划、脚本撰写，到分镜创作、人物设计、场景绘制、动画制作、输出成片，提供整包服务。我们有多年的二维动画制作经验和无限的创造力，有敏锐的嗅觉强悍的吸收力，梦幻的转化力;在动画行业和动态图形领域具有极高的专业度，我们鼓励创作精神，将客户的产品、思想核心、品牌需求等以动画的形式呈现出来，在动画行业
13,二维三维MG手绘动画设计制作动漫视频AE动画光荣动漫,服务内容全部包含:光荣文创2003年成立，具有二十年品牌策划和文创设计历史，拥有1200平的整层设计空间。20年来，我们形成了一整套严格的项目执行标准，拥有超80人的设计团队。只做有文化的设计，对粗制滥造不屑一顾实力发声，光荣20年，见过改革时代的沧海桑田，见真知著文化策划，策划20年，走过中国设计的开天辟地，大浪淘沙风雨兼程，奋斗20年，经过年少创业的切肤之痛，守业更艰服务优势:1、形意兼得，形神兼备，光荣设计师以文化设计为魂，去伪存真，通达至真。2、大巧若拙，拒绝炫技，光荣设计师以返璞归真为神，化繁为简，画山是山。3、专深精准，严苛实施，光荣设计团队身负设计使命，呕心沥血，必成佳作。4、历史悠久，廿载耕耘，光荣创立20年，深耕行业，不忘初心，时间沉淀厚重。5、潮头风劲，不惧挑战，能战胜我们的不是对手，而是我们自己这颗平庸的心，我们拒绝把自己脸谱化。服务前需客户提供的信息:1、品牌名称，名称是品牌的第一识别性，望名思义，胸中有名，笔下有神。2、品牌行业，三百六十行，行行出状元，每个行业都有自己的独特属性，正所谓，外行看热闹，内行看门道。3、风格偏好，横看成岭侧成峰，远近高低各不同，不同的高度有不同的风景，不同的阅历有不同的沉淀，文无第一，武无第二，你偏爱的，才是更好的。其他:《江湖》十年创业百年孤独酒肆里，千金买一醉红尘中，万里挑一人且与我跃马扬鞭快意恩仇约一场决斗生死各负雨来风急把酒谁言欢关山万重此去天涯路
14,MG动画，二维广告三维flash短视频剪辑动画设计制作,服务内容全部包含:前期制作 双方进行沟通 提供相关资料 进行文案创作 进行配音选择中期制作 进行原画创造 进行角色设计 进行场景设计 提供甲方审核后期制作 进行动画制作 音乐音效添加 进行视频合成 内部品控审核最终交付 提供甲方审核 改至甲方满意 甲方收货付款 交付最终视频服务优势:前期制作 双方进行沟通 提供相关资料 进行文案创作 进行配音选择中期制作 进行原画创造 进行角色设计 进行场景设计 提供甲方审核后期制作 进行动画制作 音乐音效添加 进行视频合成 内部品控审核最终交付 提供甲方审核 改至甲方满意 甲方收货付款 交付最终视频服务前需客户提供的信息:前期制作 双方进行沟通 提供相关资料 进行文案创作 进行配音选择中期制作 进行原画创造 进行角色设计 进行场景设计 提供甲方审核后期制作 进行动画制作 音乐音效添加 进行视频合成 内部品控审核最终交付 提供甲方审核 改至甲方满意 甲方收货付款 交付最终视频
15,MG动画Flash制作企业二维逐帧手绘动漫系列集长篇制作,服务内容全部包含:【天降动漫】简介【南京创心天降文化创意有限公司】成立自2015年，注册资金115万元，我们拥有多年全流程动漫设计经验，欢迎咨询【服务范畴】【品牌/策划咨询】 【VI/空间全案】 【IP吉祥物全案】 【插画/漫画/绘本】【表情/动画/视频】 【文创礼盒/产品开发】【点击右侧咨询】天降动漫，帮您重塑品牌竞争力！服务优势:服务优势:节点1：脚本确认；节点2：设计稿确认；节点3：配音确认；节点4：分镜确认；节点5：动画确认。根据节点步步确认，阶段性进行，按照我们的流程节点制作，避免中间产生其他费用滋生，也能确保您的动画品质。服务前需客户提供的信息:服务前需客户提供的信息:视频的用途，投放渠道我们团队将根据雇主需求，提供相应策略并尽我们所能给您带来不同凡响的试听体验
16,三维3D产品机械科普施工安全工业裸眼3D器械动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
17,三维建模三维二维动画视频制作动画制作地编模型效果图渲染,服务内容全部包含:1.三维动画：三维动画是一种在三维空间中创建和表现动画的技术。它允许创作者在三维空间中移动、旋转、缩放和扭曲动画对象，以制作出逼真的动态效果。2.三维建模：三维建模是创建三维对象或场景的过程。它涉及到使用数字工具和技术来创建、修改和优化三维模型的几何形状、纹理、光照和材质等3.三维效果图：三维效果图是使用三维建模软件创建的静态或动态图像。服务优势:本公司经营三维动画有十年之久。动画作品门类众多，包含有工程机械类，施工动画，安全生产动画，医疗类，物流，军工，以及原宇宙虚拟人动画。更是服务过国内知名企业如：中国交建，中国铁建，北京理工大学，中国海洋大学，北京水利研究院，科兴生物，数字冰雹等国内著名企业。人力优势，经验优势，服务优势 三大优势。服务前需客户提供的信息:1.您需要明确地说明需求和目标，例如希望在动画或模型中展示什么内容，想要达到什么效果等。2.图纸和照片：您需要提供物体的图纸和照片，以便您能够准确地创建模型。如果可能的话，他们还可以提供一些视频或图像素材，以便您更好地了解他们的需求和目标。3.设计要求和规范：您需要明确设计要求和规范，例如颜色、字体、布局等，以便您能够准确地制作模型。4.需要提供时间表，以便您能够合理地安排工作进度。其他:总之，为了制作高质量的三维动画和建模以及效果图，需要确保您提供了足够的需求和目标、图纸和照片、设计要求和规范、时间表和预算以及其他要求和信息。这些资料将有助于您更好地理解需求并制作出符合要求的作品。
18,二维科普手绘MG动漫AE逐帧产品flash动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
19,3D动画三维动画建模抖音UE地编动作捕捉视频剪辑拍摄后期,服务内容全部包含:1.三维动画：三维动画是一种在三维空间中创建和表现动画的技术。它允许创作者在三维空间中移动、旋转、缩放和扭曲动画对象，以制作出逼真的动态效果。2.三维建模：三维建模是创建三维对象或场景的过程。它涉及到使用数字工具和技术来创建、修改和优化三维模型的几何形状、纹理、光照和材质等3.地编是UE中的一种工具，它允许开发者创建和编辑游戏中的关卡和场景。地编允许开发者在虚拟环境中放置各种元素服务优势:本公司经营三维动画有十年之久。动画作品门类众多，包含有工程机械类，施工动画，安全生产动画，医疗类，物流，军工，以及原宇宙虚拟人动画。更是服务过国内知名企业如：中国交建，中国铁建，北京理工大学，中国海洋大学，北京水利研究院，科兴生物，数字冰雹等国内著名企业。人力优势，经验优势，服务优势 三大优势。服务前需客户提供的信息:1.您需要明确地说明需求和目标，例如希望在动画或模型中展示什么内容，想要达到什么效果等。2.图纸和照片：您需要提供物体的图纸和照片，以便您能够准确地创建模型。如果可能的话，他们还可以提供一些视频或图像素材，以便您更好地了解他们的需求和目标。3.设计要求和规范：您需要明确设计要求和规范，例如颜色、字体、布局等，以便您能够准确地制作模型。4.需要提供时间表，以便您能够合理地安排工作进度。其他:总之，为了制作高质量的三维动画和建模以及效果图，需要确保您提供了足够的需求和目标、图纸和照片、设计要求和规范、时间表和预算以及其他要求和信息。这些资料将有助于您更好地理解需求并制作出符合要求的作品。
20,mg动画制作MG动画动画设计科普动画AE飞碟说flash,服务内容全部包含:墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌服务领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客户提供服务！服务优势:墨家品牌设计主要经营的项目有：【品牌设计】：LOGO商标 、卡通吉祥物、VIS系统规范、包装、画册、折页、海报、宣传单设计、空间设计、展厅设计、连锁店设计、商业美陈、H5、PPT、电商详情页首页设计、商标登记等【品牌文案策划】：品牌简介、品牌故事、品牌理念、品牌价值观、企业经营宗旨、品牌愿景、品牌广告语、公众号代运营等【影视类】：MG动画、Flash动画、三维动画、宣传片制作等服务前需客户提供的信息:具体内容可以咨询售前顾问墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌服务领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客其他:墨家品牌是一家线下实体+线上相结合的设计机构，专注于品牌设计领域11年，服务客户过万家，今日头条、碧桂园集团、999药业、VIVO等企业都是我们的客户。我们提供品牌设计（logo-商标设计、vis系统、包装、画册、海报、吉祥物ip、电商）及空间设计（连锁店、专卖店、展览展厅、商业美陈）服务。墨家品牌从中国传统文化中汲取养分并结合西方的设计思想，秉承做设计更是做服务的理念为客户提供you质的服务！
21,MG动画二维科普GIF动画AE飞碟说flash手绘CG,服务内容全部包含:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！服务优势:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！服务前需客户提供的信息:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提服务！！！
