chaoxiang,danjia,id,loucheng,mianji,score,shape,zhuangxiu
南北,40282元/平米,62,高层,198.35平米,9.0,4室2厅3卫,毛坯
南北,10383元/平米,64,底层,96.31平米,8.4,3室2厅1卫,精装修
南北,10000元/平米,65,低层,128平米,8.3,3室2厅2卫,毛坯
南,9101元/平米,66,低层,89平米,5.5,3室2厅1卫,毛坯
南北,23385元/平米,67,中层,192平米,7.7,4室2厅2卫,精装修
东南,24820元/平米,68,中层,147.06平米,7.8,3室2厅2卫,中装修
南北,15913元/平米,69,高层,87.98平米,8.8,3室2厅1卫,精装修
南北,13474元/平米,71,低层,95平米,7.1,3室2厅1卫,精装修
南北,6698元/平米,73,顶层,47.18平米,6.0,1室1厅1卫,精装修
南北,43343元/平米,74,顶层,145.12平米,9.0,4室2厅3卫,豪华装修
南,9798元/平米,76,底层,99平米,7.3,3室2厅1卫,精装修
南北,85011元/平米,79,底层,176.33平米,8.8,8室3厅5卫,豪华装修
南北,16134元/平米,80,中层,166.73平米,7.7,3室2厅2卫,精装修
南,13487元/平米,81,顶层,87.49平米,5.8,3室2厅1卫,简装修
南北,9306元/平米,83,高层,96.71平米,7.6,3室1厅1卫,简装修
南,13994元/平米,84,底层,71.46平米,7.4,2室2厅1卫,简装修
南,11389元/平米,86,底层,108平米,7.8,3室2厅2卫,简装修
南,16713元/平米,88,中层,143平米,7.5,4室2厅2卫,精装修
南北,29862元/平米,89,底层,130.6平米,7.8,3室2厅2卫,简装修
南北,11203元/平米,90,低层,98.19平米,7.9,2室2厅1卫,精装修
南北,22429元/平米,91,低层,178.34平米,7.8,4室2厅2卫,精装修
南,13124元/平米,92,中层,74.29平米,7.4,2室2厅1卫,精装修
南北,66691元/平米,93,底层,167.79平米,9.0,4室2厅3卫,精装修
南北,35139元/平米,94,中层,216平米,7.3,3室2厅3卫,简装修
南,13201元/平米,95,高层,87.87平米,7.7,3室1厅1卫,精装修
南北,44330元/平米,96,顶层,216.33平米,9.0,8室3厅4卫,毛坯
南北,20267元/平米,97,低层,143.09平米,7.3,4室2厅2卫,毛坯
南北,23709元/平米,98,中层,132.86平米,7.8,3室2厅2卫,精装修
南北,9906元/平米,99,中层,106平米,7.9,3室2厅2卫,精装修
西,26671元/平米,100,高层,59.99平米,7.5,1室1厅1卫,精装修
东,17105元/平米,102,顶层,152平米,7.8,4室2厅2卫,精装修
南北,14694元/平米,103,顶层,147平米,7.8,4室2厅2卫,精装修
南北,12379元/平米,104,高层,206.81平米,7.8,4室2厅2卫,简装修
南北,16085元/平米,106,中层,149.21平米,7.7,3室2厅2卫,简装修
南北,30292元/平米,108,中层,137平米,9.0,3室2厅2卫,毛坯
南北,37994元/平米,109,中层,227.67平米,9.0,4室2厅2卫,精装修
南北,30958元/平米,110,中层,203.18平米,7.7,4室2厅3卫,豪华装修
南北,25965元/平米,111,低层,84.73平米,6.9,3室2厅1卫,精装修
南北,23333元/平米,113,中层,231平米,8.8,5室2厅2卫,毛坯
东南,20409元/平米,114,中层,210.69平米,9.0,4室2厅3卫,简装修
南,17436元/平米,116,底层,120.44平米,7.7,3室2厅2卫,毛坯
南,10000元/平米,115,中层,108平米,8.3,3室2厅2卫,精装修
南北,11494元/平米,119,高层,103.53平米,7.7,3室2厅1卫,精装修
南北,37328元/平米,120,高层,256.91平米,9.0,5室2厅2卫,毛坯
南北,35125元/平米,121,顶层,181.92平米,8.2,4室2厅3卫,精装修
南北,11667元/平米,122,中层,120平米,8.4,3室2厅2卫,精装修
南北,6766元/平米,123,中层,94.59平米,7.2,3室2厅2卫,精装修
南北,14451元/平米,124,高层,83.04平米,7.0,2室1厅1卫,中装修
南北,11547元/平米,125,中层,117.78平米,7.2,3室2厅2卫,精装修
南,16672元/平米,126,中层,99.57平米,7.8,2室1厅1卫,精装修
南北,26440元/平米,127,中层,165.66平米,7.7,4室2厅2卫,精装修
南,15703元/平米,129,高层,87.88平米,7.0,2室1厅1卫,简装修
南北,10354元/平米,131,低层,182.54平米,6.6,4室1厅2卫,简装修
南,16429元/平米,130,中层,168平米,5.7,4室2厅2卫,简装修
南,20240元/平米,133,低层,209.98平米,9.0,4室2厅2卫,中装修
南北,20514元/平米,134,低层,177.93平米,6.8,3室2厅2卫,简装修
南北,25836元/平米,137,低层,165.66平米,7.7,4室2厅2卫,精装修
东,9986元/平米,138,中层,70平米,7.7,2室1厅1卫,精装修
南北,13913元/平米,139,低层,46平米,7.8,1室1厅1卫,毛坯
南北,33010元/平米,140,低层,196.91平米,7.3,4室2厅2卫,精装修
南,14547元/平米,141,高层,82.49平米,7.0,2室1厅1卫,中装修
南北,14815元/平米,142,中层,108平米,8.9,3室2厅2卫,精装修
南北,38001元/平米,143,高层,604.98平米,8.9,6室3厅6卫,豪华装修
南北,10787元/平米,144,中层,89平米,7.8,2室2厅1卫,精装修
南北,6952元/平米,145,低层,123.7平米,7.5,3室2厅2卫,精装修
南北,10749元/平米,146,中层,87.45平米,8.2,3室2厅2卫,精装修
南,6667元/平米,147,高层,117平米,7.6,3室2厅2卫,精装修
南北,10600元/平米,148,低层,93.4平米,7.9,3室2厅1卫,精装修
西北,11471元/平米,149,中层,88.92平米,8.9,3室1厅1卫,简装修
南北,9076元/平米,151,中层,119平米,7.3,3室2厅2卫,精装修
南,6860元/平米,153,中层,121平米,6.9,3室2厅2卫,精装修
南北,26737元/平米,154,低层,126.79平米, ,3室2厅2卫,精装修
东南,17185元/平米,155,高层,88.45平米,8.5,3室2厅1卫,精装修
南北,30822元/平米,157,中层,146平米,8.8,3室2厅2卫,毛坯
南北,10962元/平米,158,底层,180.62平米,7.8,4室2厅2卫,简装修
南,13442元/平米,159,底层,89.27平米,7.4,3室2厅1卫,简装修
南北,18719元/平米,161,低层,168.28平米,7.7,3室2厅2卫,精装修
南,21961元/平米,163,低层,153平米,7.2,4室2厅2卫,精装修
南北,19718元/平米,164,中层,142平米,8.6,4室2厅2卫,精装修
南北,35391元/平米,167,中层,243平米,8.8,4室2厅3卫,简装修
南北,11554元/平米,168,中层,89.15平米,8.4,3室2厅1卫,毛坯
南北,44489元/平米,169,中层,233.54平米,8.7,4室2厅2卫,毛坯
南北,33000元/平米,170,底层,200平米,7.1,4室2厅3卫,精装修
东西,15300元/平米,171,中层,69.28平米,7.0,3室1厅1卫,简装修
南,13399元/平米,172,中层,197.77平米,7.8,3室2厅2卫,精装修
南,7640元/平米,176,中层,89平米,6.9,3室2厅1卫,精装修
南北,18514元/平米,178,中层,124.23平米,7.5,3室2厅2卫,精装修
南北,23421元/平米,180,低层,165.66平米,7.7,4室2厅2卫,毛坯
南,16283元/平米,181,中层,113平米,5.3,3室2厅2卫,精装修
南北,17487元/平米,182,中层,131.53平米,7.8,3室2厅2卫,毛坯
南北,15633元/平米,183,中层,158平米,7.9,4室2厅2卫,毛坯
南北,17903元/平米,184,低层,117.3平米,8.5,3室2厅2卫,精装修
南北,58694元/平米,185,高层,204.28平米,8.7,4室2厅3卫,毛坯
南,17813元/平米,186,底层,128平米,6.2,3室2厅2卫,精装修
南北,60365元/平米,187,底层,192平米,8.8,4室2厅2卫,简装修
南,6405元/平米,188,顶层,115.54平米,7.5,3室2厅2卫,毛坯
南北,29126元/平米,190,底层,147.29平米,7.9,5室2厅2卫,精装修
南北,9389元/平米,191,中层,141.65平米,6.9,3室2厅2卫,简装修
南北,19929元/平米,192,高层,140平米,6.7,4室2厅2卫,精装修
南北,11309元/平米,193,高层,89.31平米,8.4,3室2厅1卫,毛坯
南,22573元/平米,194,底层,412平米, ,5室2厅5卫,毛坯
南,10686元/平米,195,高层,112.3平米,8.0,3室2厅2卫,精装修
南,24816元/平米,196,低层,145.07平米,7.8,3室2厅2卫,精装修
南,10000元/平米,197,底层,105平米,8.0,3室2厅2卫,毛坯
南,13442元/平米,198,底层,89.27平米,7.4,3室2厅1卫,简装修
南北,11910元/平米,199,低层,89平米,7.0,3室2厅1卫,精装修
南北,14554元/平米,200,底层,137.42平米,7.0,4室2厅3卫,精装修
南,14607元/平米,203,底层,89平米,7.1,3室2厅1卫,精装修
南北,12843元/平米,202,低层,95.77平米,7.7,3室2厅1卫,精装修
南,12749元/平米,205,底层,298.07平米,7.7,5室4厅3卫,精装修
南,12009元/平米,206,中层,93.26平米,7.8,3室1厅1卫,毛坯
南北,35573元/平米,209,高层,196.78平米,9.0,4室2厅3卫,毛坯
南北,17746元/平米,208,高层,104.81平米,7.8,3室2厅1卫,简装修
南,16096元/平米,211,低层,88.84平米,7.9,3室2厅1卫,毛坯
南北,14571元/平米,212,高层,140平米,6.7,4室2厅2卫,精装修
南,25000元/平米,216,高层,86平米,8.8,2室2厅1卫,精装修
南北,53045元/平米,217,中层,243平米,8.8,4室2厅3卫,精装修
南北,31591元/平米,218,中层,148.46平米,9.1,3室2厅2卫,精装修
南,11626元/平米,219,中层,123平米,8.0,3室2厅1卫,精装修
南北,10329元/平米,220,高层,152平米,7.9,3室2厅1卫,精装修
东北,18170元/平米,224,低层,109.52平米,7.9,3室2厅2卫,精装修
南北,24937元/平米,227,中层,178.45平米,7.8,4室2厅2卫,中装修
南北,16080元/平米,229,低层,141.17平米,7.3,4室2厅2卫,精装修
南北,21713元/平米,231,低层,175.01平米,9.0,3室2厅2卫,精装修
南,15747元/平米,232,低层,111.77平米,7.7,3室2厅2卫,中装修
南,12319元/平米,233,中层,138平米,7.2,3室2厅2卫,精装修
南,暂无价格,234,高层,90.18平米, ,3室2厅1卫,精装修
南,18240元/平米,235,低层,125平米,7.8,3室2厅2卫,毛坯
南,14021元/平米,237,低层,74.89平米,7.4,2室2厅1卫,简装修
南北,17851元/平米,238,中层,121平米,7.7,3室2厅2卫,毛坯
南北,12381元/平米,239,低层,98.54平米,7.2,3室2厅2卫,精装修
南,13361元/平米,240,中层,119平米,7.8,3室2厅2卫,精装修
南北,48317元/平米,241,中层,268.85平米,8.7,4室2厅5卫,精装修
南北,10556元/平米,242,中层,89.05平米,7.4,3室2厅2卫,精装修
南,7944元/平米,243,中层,144.77平米,7.9,3室2厅2卫,精装修
南北,16365元/平米,244,中层,120.99平米,7.7,3室2厅2卫,精装修
南北,13717元/平米,248,中层,113平米,8.9,3室2厅2卫,精装修
南,17521元/平米,250,底层,121平米,7.7,3室2厅2卫,毛坯
南北,4479元/平米,251,顶层,96平米,5.2,3室2厅1卫,精装修
南北,16720元/平米,252,低层,94.2平米,9.2,3室2厅1卫,毛坯
南,15217元/平米,253,低层,143.26平米,7.5,3室2厅2卫,精装修
南北,34692元/平米,254,高层,181.6平米,9.1,3室2厅3卫,豪华装修
南北,12333元/平米,255,中层,120平米,7.8,3室2厅2卫,精装修
南,14626元/平米,257,底层,133.32平米,7.8,3室2厅2卫,简装修
南北,9775元/平米,258,中层,89平米,8.4,3室2厅1卫,精装修
南北,45026元/平米,259,底层,181.23平米,7.7,5室2厅4卫,毛坯
南北,36425元/平米,260,底层,200.14平米,9.0,4室2厅1卫,简装修
南北,69263元/平米,261,底层,207.76平米,9.0,4室2厅3卫,精装修
南,13928元/平米,262,低层,91.9平米,7.8,3室2厅1卫,简装修
南北,20080元/平米,263,高层,87.65平米,7.8,2室2厅1卫,简装修
南北,57247元/平米,265,低层,157.04平米,9.0,3室2厅2卫,毛坯
南北,11441元/平米,268,高层,118平米,8.8,3室2厅1卫,精装修
南北,17086元/平米,271,中层,145.15平米,7.7,3室2厅2卫,精装修
南北,14417元/平米,274,高层,256.64平米,7.8,5室2厅3卫,精装修
南北,23166元/平米,277,低层,88.49平米,8.6,3室2厅1卫,精装修
南,13831元/平米,278,中层,88.21平米,7.9,3室2厅1卫,精装修
东,14300元/平米,280,高层,113.29平米,7.8,3室2厅2卫,毛坯
南,12319元/平米,282,中层,138平米,7.2,3室2厅2卫,精装修
南,11389元/平米,283,中层,75.51平米,7.5,2室1厅1卫,精装修
南北,10893元/平米,284,中层,112平米,7.9,3室2厅2卫,精装修
南北,30526元/平米,286,低层,229.31平米,8.6,4室2厅3卫,精装修
南,6187元/平米,287,底层,88.89平米,7.7,3室2厅1卫,毛坯
南,10034元/平米,290,中层,102.65平米,7.6,3室1厅1卫,简装修
南,15882元/平米,291,低层,119平米,7.8,3室2厅2卫,精装修
南北,26994元/平米,292,高层,97.43平米,7.8,2室2厅1卫,中装修
南北,9220元/平米,293,中层,121.47平米,8.0,3室2厅1卫,简装修
南北,22750元/平米,294,中层,191.65平米,7.9,4室2厅3卫,精装修
南,12921元/平米,295,中层,89平米,7.9,3室2厅1卫,毛坯
南,11206元/平米,297,中层,111.55平米,7.7,3室1厅2卫,精装修
南北,19173元/平米,298,高层,155.95平米,7.7,4室2厅2卫,精装修
东南,13388元/平米,299,低层,89.63平米,7.7,3室1厅1卫,精装修
南北,11167元/平米,300,低层,107.46平米,8.0,3室2厅1卫,精装修
南北,18772元/平米,301,中层,98.55平米,7.7,2室2厅1卫,精装修
东南,18433元/平米,302,低层,119.35平米,8.5,3室2厅2卫,毛坯
南北,13390元/平米,304,低层,123.23平米,8.7,3室2厅2卫,精装修
南,8361元/平米,305,中层,183平米,7.8,4室2厅2卫,简装修
南北,41027元/平米,306,顶层,185平米,9.1,5室2厅4卫,豪华装修
南北,5984元/平米,309,低层,122平米,7.3,4室2厅2卫,精装修
南北,34000元/平米,311,中层,200平米,8.9,4室2厅3卫,毛坯
南北,8488元/平米,312,高层,122.52平米,8.0,3室2厅2卫,毛坯
南,20345元/平米,314,高层,81.1平米,7.9,2室2厅1卫,精装修
南北,18573元/平米,315,低层,209.98平米,9.0,4室2厅3卫,毛坯
南,9932元/平米,316,中层,89.61平米,8.3,3室2厅1卫,毛坯
南,13944元/平米,318,低层,90.36平米,7.4,3室2厅1卫,简装修
南北,53528元/平米,321,底层,156.74平米,9.2,4室2厅2卫,毛坯
南北,37674元/平米,322,高层,174.92平米,9.0,4室2厅3卫,毛坯
南北,11250元/平米,323,中层,88平米,8.8,3室2厅1卫,精装修
南北,34617元/平米,324,顶层,161.77平米,9.1,4室2厅3卫,精装修
南北,13409元/平米,325,高层,88平米,7.2,3室2厅2卫,精装修
南北,56231元/平米,326,底层,231.01平米,9.1,8室4厅7卫,精装修
南,19590元/平米,329,低层,163.35平米,7.1,4室2厅2卫,毛坯
南,14646元/平米,330,高层,136.56平米,7.8,3室2厅2卫,精装修
南,12837元/平米,331,中层,84.91平米,8.9,2室1厅1卫,精装修
南北,11640元/平米,333,低层,77.32平米,5.9,2室2厅1卫,简装修
南北,10330元/平米,336,中层,137.46平米,6.9,4室2厅1卫,简装修
南北,18966元/平米,337,高层,145平米,7.1,4室2厅2卫,毛坯
南,16339元/平米,338,中层,183平米,7.5,4室2厅2卫,精装修
南北,15605元/平米,339,中层,108.49平米,8.9,3室2厅2卫,简装修
东南,21395元/平米,344,低层,210.33平米,9.0,4室2厅2卫,精装修
南北,24170元/平米,345,低层,142.74平米,7.7,4室2厅2卫,毛坯
南北,40441元/平米,347,底层,88.03平米,7.7,3室2厅1卫,精装修
南北,26368元/平米,348,底层,87.19平米,9.0,2室1厅1卫,简装修
南北,14950元/平米,349,高层,120.4平米,7.9,3室2厅2卫,毛坯
南北,18970元/平米,351,低层,165平米,8.5,4室2厅2卫,简装修
南北,26324元/平米,354,中层,125.36平米,7.8,3室2厅1卫,简装修
南北,20216元/平米,355,中层,143.45平米,7.8,3室2厅2卫,中装修
南北,22099元/平米,356,低层,97.29平米,7.8,2室2厅1卫,中装修
南北,10000元/平米,357,高层,99平米,8.3,3室2厅1卫,毛坯
南北,26061元/平米,358,低层,165平米,7.7,4室2厅2卫,精装修
南北,9813元/平米,359,中层,112平米,7.4,3室2厅2卫,精装修
南北,11510元/平米,360,中层,72.11平米,8.4,2室2厅1卫,毛坯
南北,37931元/平米,361,中层,145平米,9.0,3室2厅2卫,毛坯
南北,14122元/平米,362,中层,128.88平米,7.5,3室2厅2卫,简装修
南北,7377元/平米,365,低层,122平米,7.3,4室2厅2卫,精装修
南,11047元/平米,366,中层,86平米,7.5,2室2厅1卫,中装修
南北,12581元/平米,367,中层,120.82平米,5.6,3室2厅2卫,简装修
南北,22961元/平米,368,低层,152平米,7.0,3室2厅2卫,毛坯
南,14286元/平米,370,底层,105平米,7.1,3室2厅2卫,精装修
南北,14352元/平米,371,高层,117.75平米,6.1,3室2厅2卫,中装修
南,9888元/平米,372,底层,89平米,8.0,3室2厅1卫,毛坯
南北,9505元/平米,373,底层,89.43平米,7.2,3室2厅1卫,精装修
南,6040元/平米,377,中层,88.57平米,7.1,3室2厅1卫,精装修
南,8981元/平米,378,中层,108平米,7.9,3室2厅2卫,简装修
南北,12346元/平米,379,中层,126.36平米, ,3室2厅2卫,简装修
南北,18567元/平米,380,高层,191.2平米,8.1,4室2厅2卫,毛坯
南北,13407元/平米,382,高层,119.34平米,6.0,3室2厅1卫,简装修
南北,9645元/平米,381,低层,116.12平米,8.2,3室1厅2卫,毛坯
南,11387元/平米,384,中层,137平米,7.2,3室2厅2卫,精装修
南,15398元/平米,385,中层,92.87平米,7.7,3室2厅1卫,毛坯
南,14959元/平米,387,中层,123平米,7.8,3室2厅2卫,毛坯
南,13351元/平米,386,底层,186.5平米,7.5,4室2厅2卫,精装修
南,13862元/平米,389,高层,128.41平米,8.7,3室2厅2卫,精装修
南北,8041元/平米,390,中层,89.54平米,8.2,3室2厅1卫,精装修
南北,16146元/平米,391,高层,125.11平米,8.9,3室2厅2卫,毛坯
南,8915元/平米,392,中层,129平米,8.6,3室2厅2卫,精装修
南北,9787元/平米,393,中层,69.48平米,8.4,2室2厅1卫,精装修
南,18230元/平米,394,中层,113平米,8.1,3室2厅1卫,毛坯
南北,20681元/平米,397,高层,191平米,8.1,4室2厅2卫,精装修
南北,22677元/平米,398,高层,127平米,7.7,3室2厅1卫,简装修
南,20170元/平米,399,低层,89.24平米,7.2,2室2厅1卫,毛坯
南,13948元/平米,400,高层,93.2平米,7.8,3室2厅1卫,精装修
南,10076元/平米,401,中层,97.26平米,7.0,3室2厅1卫,简装修
南北,24513元/平米,403,高层,89.34平米,7.8,3室1厅1卫,简装修
南,15300元/平米,411,低层,74.51平米,6.8,3室1厅1卫,简装修
南北,16087元/平米,412,中层,115平米,8.0,3室2厅2卫,精装修
南北,11163元/平米,418,中层,98.54平米,7.2,3室2厅2卫,毛坯
南北,18344元/平米,419,低层,150.46平米,8.1,4室2厅2卫,毛坯
南,20940元/平米,420,顶层,113.66平米,8.1,3室2厅1卫,精装修
南,9566元/平米,421,高层,88.86平米,7.2,3室2厅1卫,毛坯
南北,18741元/平米,422,高层,143平米,6.9,4室2厅2卫,简装修
南北,7961元/平米,423,中层,89.19平米,8.2,3室2厅1卫,精装修
南,10297元/平米,424,中层,101平米,7.9,3室2厅1卫,精装修
南北,28462元/平米,425,低层,149.32平米, ,4室2厅2卫,精装修
南,38047元/平米,428,底层,189.24平米,9.0,4室2厅2卫,毛坯
南,13636元/平米,430,底层,88平米,7.4,3室2厅1卫,毛坯
南北,9770元/平米,431,高层,89.05平米,7.4,3室2厅2卫,精装修
南北,45137元/平米,433,中层,146平米,8.8,4室2厅3卫,精装修
南北,13123元/平米,434,低层,163.84平米,8.9,4室2厅2卫,中装修
西南,14779元/平米,437,高层,206.38平米,7.8,4室2厅2卫,精装修
南北,39000元/平米,438,中层,200平米,9.0,4室2厅3卫,毛坯
南北,9145元/平米,439,高层,69.98平米,7.7,2室1厅1卫,中装修
南北,35520元/平米,441,底层,148.93平米,9.0,3室2厅2卫,简装修
南北,54025元/平米,442,底层,159平米,9.0,3室2厅2卫,毛坯
南北,18207元/平米,443,中层,153.79平米,8.1,4室2厅2卫,简装修
南北,31507元/平米,444,中层,196.78平米,9.0,4室2厅3卫,简装修
南,25172元/平米,447,低层,174平米,7.8,4室2厅2卫,精装修
南北,24318元/平米,448,低层,172.71平米,9.0,4室2厅2卫,简装修
南,7784元/平米,450,中层,88平米,6.6,2室2厅1卫,精装修
南,21844元/平米,451,高层,97.51平米,8.6,3室2厅1卫,简装修
南北,38821元/平米,452,低层,216.38平米,9.0,4室2厅3卫,精装修
南北,30005元/平米,456,低层,146.64平米,8.8,3室2厅2卫,毛坯
南,21064元/平米,458,低层,151.92平米,9.0,3室1厅2卫,精装修
南北,15566元/平米,460,高层,138.76平米,7.9,4室2厅2卫,简装修
南北,43308元/平米,461,底层,145.47平米,8.8,4室2厅3卫,豪华装修
南北,28365元/平米,464,底层,130.09平米,6.2,4室2厅2卫,毛坯
南,20314元/平米,465,中层,36.92平米,7.8,1室0厅1卫,简装修
南北,7970元/平米,467,中层,112.92平米,7.8,3室1厅1卫,简装修
南,18138元/平米,470,高层,217.78平米,8.1,4室2厅3卫,简装修
南,14767元/平米,471,中层,91.15平米,7.8,3室2厅1卫,简装修
南,5524元/平米,473,中层,105平米,5.5,3室2厅2卫,精装修
南北,31016元/平米,474,底层,187平米,6.7,4室2厅4卫,毛坯
南北,9316元/平米,475,低层,125.59平米,7.8,3室2厅2卫,精装修
东,9813元/平米,476,中层,107平米,7.7,3室2厅1卫,中装修
南北,10268元/平米,479,顶层,131.48平米,7.9,3室2厅2卫,精装修
南,16809元/平米,481,低层,37.48平米,7.8,1室0厅1卫,精装修
南,9794元/平米,483,中层,34平米,7.4,1室1厅1卫,精装修
南,6847元/平米,484,高层,124.15平米,7.5,3室2厅2卫,精装修
南,11591元/平米,485,低层,73.33平米,5.9,2室1厅1卫,精装修
南,47423元/平米,486,底层,194平米,9.0,5室4厅5卫,精装修
南,11478元/平米,487,低层,115平米,7.2,3室2厅1卫,精装修
南北,42714元/平米,488,底层,199平米,8.9,3室2厅3卫,毛坯
南,9346元/平米,489,中层,107平米,8.4,3室2厅2卫,精装修
南,12190元/平米,491,高层,89.83平米,7.8,3室1厅1卫,精装修
北,16940元/平米,492,中层,88.55平米,8.6,3室2厅1卫,精装修
南北,35154元/平米,493,中层,198.84平米,8.9,5室2厅3卫,豪华装修
南,15840元/平米,494,高层,138.89平米,8.9,3室2厅2卫,精装修
南北,49542元/平米,495,中层,242.42平米,8.8,5室2厅3卫,精装修
南,7410元/平米,498,底层,95.14平米,3.5,2室2厅1卫,精装修
南北,14924元/平米,500,中层,164.16平米,7.6,3室2厅2卫,精装修
南,19520元/平米,502,中层,171.62平米,9.0,3室2厅2卫,中装修
南北,63818元/平米,503,高层,195.87平米,8.7,4室2厅3卫,精装修
南北,11963元/平米,504,高层,107平米,7.1,3室2厅2卫,精装修
南北,18872元/平米,505,底层,133平米,6.2,4室2厅2卫,精装修
南,20252元/平米,506,低层,142.21平米,7.9,4室2厅2卫,简装修
南北,16146元/平米,507,中层,96平米,7.7,3室2厅1卫,毛坯
南北,18995元/平米,508,高层,92.13平米,8.6,3室2厅1卫,简装修
南北,7656元/平米,509,中层,128平米,8.0,4室2厅2卫,精装修
南,6647元/平米,512,高层,90.27平米,8.3,3室2厅1卫,精装修
南,13351元/平米,515,中层,88.38平米,7.5,3室1厅1卫,精装修
东南,8914元/平米,516,中层,78.53平米,7.6,2室2厅1卫,简装修
南,7888元/平米,518,高层,92.54平米,8.7,3室2厅1卫,精装修
南,12138元/平米,520,低层,88.98平米, ,3室2厅1卫,毛坯
东南,10986元/平米,522,中层,118.33平米,7.3,3室2厅2卫,毛坯
南北,12827元/平米,523,底层,116.94平米,7.8,3室2厅2卫,精装修
南,10738元/平米,528,高层,89.4平米,7.8,2室2厅1卫,简装修
南北,48544元/平米,529,低层,206平米,9.0,4室2厅3卫,简装修
南北,7172元/平米,531,高层,87.84平米,7.2,3室1厅1卫,毛坯
南北,15839元/平米,532,中层,142.05平米,8.9,4室2厅2卫,毛坯
南北,10874元/平米,533,低层,128.75平米,7.3,3室2厅2卫,毛坯
南,6422元/平米,534,高层,133.91平米,7.0,4室2厅2卫,精装修
北,18410元/平米,535,中层,37.48平米,7.8,1室0厅1卫,简装修
南北,16901元/平米,536,中层,142平米,7.0,4室2厅2卫,精装修
南,10112元/平米,539,低层,89平米,8.4,3室2厅1卫,精装修
